Key,Name_EN,Name_TH,Desc_EN,Desc_TH,RawDesc_EN,RawDesc_TH,Lore_EN,Lore_TH,Category,HeroType,MaxLevel
Se_Star_D_LowerASHigherAD,Strength Enhancement,เสริมสร้างพละกำลัง,Reduces <color=yellow>Attack Speed</color> by 20%. Increases <color=yellow>Attack Damage</color> by 8<sprite=5>.,ลด <color=yellow>ความเร็วโจมตี</color> ลง 20% เพิ่ม <color=yellow>ความเสียหายโจมตี</color> ขึ้น 8<sprite=5>,Reduces <color=yellow>Attack Speed</color> by {0}. Increases <color=yellow>Attack Damage</color> by {1}.,ลด<color=yellow>ความเร็วโจมตี</color>ลง {0} เพิ่ม<color=yellow>ความเสียหายจากการโจมตี</color> {1},,,Destruction,,4
Se_Star_D_ScalingAbilityPower,Mature Mind,จิตใจที่สุขุม,"Gain 2<sprite=5> <color=yellow>Ability Power</color> each time you reach levels 5, 10, 15, and 20.","ได้รับ <color=yellow>พลังโจมตีเวท</color> 2<sprite=5> ทุกครั้งที่ถึงเลเวล 5, 10, 15 และ 20","Gain {0} <color=yellow>Ability Power</color> each time you reach levels 5, 10, 15, and 20.","ได้รับ {0} <color=yellow>พลังโจมตีเวทย์</color> ทุกครั้งที่ถึงเลเวล 5, 10, 15 และ 20",,,Destruction,,4
Se_Star_D_ScalingAttackDamage,Destructive Nature,ธรรมชาติแห่งการทำลายล้าง,"Gain 2<sprite=5> <color=yellow>Attack Damage</color> each time you reach levels 5, 10, 15, and 20.","ได้รับความเสียหายจากการโจมตี 2<sprite=5> <color=yellow>Attack Damage</color> ทุกครั้งที่ถึงเลเวล 5, 10, 15 และ 20","Gain {0} <color=yellow>Attack Damage</color> each time you reach levels 5, 10, 15, and 20.","ได้รับ {0} <color=yellow>ความเสียหายจากการโจมตี</color> ทุกครั้งที่ถึงเลเวล 5, 10, 15 และ 20",,,Destruction,,4
Se_Star_D_ScalingAttackSpeedWithPenalty,Gathering Storm,พายุที่ก่อตัว,<color=yellow>Attack Speed</color> is reduced by 10%. <color=yellow>Attack Speed</color> increases by 1%<sprite=5> each time you level up.,<color=yellow>ความเร็วโจมตี</color> ลดลง 10% <color=yellow>ความเร็วโจมตี</color> เพิ่มขึ้น 1%<sprite=5> ทุกครั้งที่คุณเลเวลอัพ,<color=yellow>Attack Speed</color> is reduced by {0}. <color=yellow>Attack Speed</color> increases by {1} each time you level up.,<color=yellow>ความเร็วโจมตี</color>ลดลง {0} <color=yellow>ความเร็วโจมตี</color>เพิ่มขึ้น {1} ทุกครั้งที่เลเวลอัพ,,,Destruction,,4
Se_Star_D_TempAbilityPower,Awakened Magic,เวทมนตร์ตื่นรู้,Increases <color=yellow>Ability Power</color> by 14<sprite=5> while completing the first 3 worlds.,เพิ่ม <color=yellow>พลังความสามารถ</color> ขึ้น 14<sprite=5> ขณะที่ทำการเล่นใน 3 ด่านแรก,Increases <color=yellow>Ability Power</color> by {0} while completing the first {1} worlds.,เพิ่ม <color=yellow>พลังโจมตี</color> ด้วย {0} ในขณะที่กำลังเคลียร์โลกแรก {1} แห่ง,,,Destruction,,4
Se_Star_D_TempAttackDamage,Burning Bloodlust,กระหายเลือดลุกโชน,Increases <color=yellow>Attack Damage</color> by 14<sprite=5> until you complete the first 3 world.,เพิ่ม <color=yellow>ความเสียหายจากการโจมตี</color> 14<sprite=5> จนกว่าคุณจะเคลียร์โลกที่ 3 ได้สำเร็จ,Increases <color=yellow>Attack Damage</color> by {0} until you complete the first {1} world.,เพิ่ม <color=yellow>ความเสียหายจากการโจมตี</color> {0} จนกว่าจะสำเร็จโลกที่ {1},,,Destruction,,4
Se_Star_D_UltimateChargeSpeed,Ultimate Malice,จิตสังหารสัมบูรณ์,Increases <color=yellow>Ultimate</color> charge speed by 20%<sprite=5>.,เพิ่มความเร็วในการชาร์จ<color=yellow>ท่าไม้ตาย</color> 20%<sprite=5>,Increases <color=yellow>Ultimate</color> charge speed by {0}.,เพิ่มความเร็วการชาร์จ <color=yellow>ท่าไม้ตาย</color> ขึ้น {0},,,Destruction,,5
Se_Star_I_DismantleReroll,Trading Fates,แลกเปลี่ยนโชคชะตา,"The first time you <color=yellow>Dismantle</color> an Essence or Memory, it is replaced with a random item of the same rarity instead of being dismantled. Can trigger up to 1<sprite=5> times per world.",ครั้งแรกที่คุณ<color=yellow>แยกชิ้นส่วน</color> Essence หรือ Memory มันจะถูกแทนที่ด้วยไอเทมสุ่มที่มีความหายากเดียวกันแทนที่จะถูกแยกชิ้นส่วน สามารถเกิดขึ้นได้สูงสุด 1<sprite=5> ครั้งต่อโลก,"The first time you <color=yellow>Dismantle</color> an Essence or Memory, it is replaced with a random item of the same rarity instead of being dismantled. Can trigger up to {0} times per world.",ครั้งแรกที่คุณ<color=yellow>แยกชิ้นส่วน</color> Essence หรือ Memory มันจะถูกแทนที่ด้วยไอเทมสุ่มที่มีความหายากเท่ากันแทนที่จะถูกแยกชิ้นส่วน สามารถกระตุ้นได้สูงสุด {0} ครั้งต่อโลก,,,Imagination,,3
Se_Star_I_AdditionalChaosChance,Primordial Chaos,ความโกลาหลบรรพกาล,"When <color=yellow>Chaos</color> is obtained as a reward, there is a 12%<sprite=5> chance to gain one additional Chaos.",เมื่อได้รับ <color=yellow>ความโกลาหล</color> เป็นรางวัล จะมีโอกาส 12%<sprite=5> ที่จะได้รับความโกลาหลเพิ่มอีกหนึ่งรายการ,"When <color=yellow>Chaos</color> is obtained as a reward, there is a {0} chance to gain one additional Chaos.",เมื่อได้รับ <color=yellow>Chaos</color> เป็นรางวัล มีโอกาส {0} ที่จะได้รับ Chaos เพิ่มเติมอีกหนึ่งหน่วย,,,Imagination,,5
Se_Star_I_DismantleBonus,Efficient Extraction,การสกัดที่มีประสิทธิภาพ,Increases the amount of <color=yellow>Dream Dust</color> gained from <color=yellow>dismantling</color> Memories or Essences by 7%<sprite=5>.,เพิ่มจำนวน <color=yellow>ผงฝัน</color> ที่ได้รับจากการ <color=yellow>แยกส่วน</color> ความทรงจำหรือแก่นแท้ขึ้น 7%<sprite=5>,Increases the amount of <color=yellow>Dream Dust</color> gained from <color=yellow>dismantling</color> Memories or Essences by {0}.,เพิ่มปริมาณของ <color=yellow>ผงฝัน</color> ที่ได้รับจากการ <color=yellow>แยกชิ้นส่วน</color> เมมโมรี่หรือเอสเซนส์เป็น {0},,,Imagination,,5
Se_Star_I_DreamDustOnKillChance,Dismantle and Analyze,แยกส่วนและวิเคราะห์,<color=yellow>Defeating</color> an enemy has a 12%<sprite=5> chance to grant 2 <color=yellow>Dream Dust</color>.,<color=yellow>การกำจัด</color>ศัตรู มีโอกาส 12%<sprite=5> ที่จะมอบ <color=yellow>ผงแห่งฝัน</color> 2 ชิ้น,<color=yellow>Defeating</color> an enemy has a {0} chance to grant {1} <color=yellow>Dream Dust</color>.,<color=yellow>เอาชนะ</color> ศัตรูมีโอกาส {0} ที่จะได้รับ {1} <color=yellow>ผงฝัน</color>,,,Imagination,,4
Se_Star_I_FirstGemUpgrade,Beginner's Luck,โชคของมือใหม่,Increases the <color=yellow>quality of the first Essence</color> you equip by 40%<sprite=5>.,เพิ่ม <color=yellow>คุณภาพของ Essence ชิ้นแรก</color> ที่คุณสวมใส่ 40%<sprite=5>,Increases the <color=yellow>quality of the first Essence</color> you equip by {0}.,เพิ่ม <color=yellow>คุณภาพของ Essence ชิ้นแรก</color> ที่คุณสวมใส่เป็น {0},,,Imagination,,4
Se_Star_I_GemOnMiniBossKill,Bizarre Spoils,ของสงครามวิปลาส,Defeating a <color=yellow>Mini Boss</color> has a 40%<sprite=5> chance to grant a random Essence.,การเอาชนะ <color=yellow>Mini Boss</color> มี 40%<sprite=5> โอกาสที่จะได้รับ Essence แบบสุ่ม,Defeating a <color=yellow>Mini Boss</color> has a {0} chance to grant a random Essence.,การปราบ <color=yellow>Mini Boss</color> มีโอกาส {0} ที่จะมอบ Essence แบบสุ่ม,,,Imagination,,4
Se_Star_I_GoldPerCrit,Pickpocket,ล้วงกระเป๋า,Gain 0.7<sprite=5> Gold the first time a <color=yellow>Critical Attack</color> hits each enemy.,ได้รับ 0.7<sprite=5> Gold ครั้งแรกที่ <color=yellow>Critical Attack</color> โจมตีศัตรูแต่ละตัว,Gain {0} Gold the first time a <color=yellow>Critical Attack</color> hits each enemy.,ได้รับ Gold {0} เป็นครั้งแรกที่การโจมตี <color=yellow>Critical Attack</color> โดนศัตรูแต่ละตัว,,,Imagination,,3
Se_Star_I_KillGoldBonus,Wealth Accumulation,สั่งสมความมั่งคั่ง,Increases the amount of <color=yellow>Gold</color> gained from <color=yellow>defeating</color> enemies by 4%<sprite=5>.,เพิ่มจำนวน <color=yellow>ทอง</color> ที่ได้รับจากการ <color=yellow>เอาชนะ</color> ศัตรู 4%<sprite=5>,Increases the amount of <color=yellow>Gold</color> gained from <color=yellow>defeating</color> enemies by {0}.,เพิ่มจำนวน <color=yellow>ทอง</color> ที่ได้รับจากการ<color=yellow>เอาชนะ</color>ศัตรูขึ้น {0},,,Imagination,,4
Se_Star_I_MawDiscountAndProtection,Sparkling Clean Maw,ปากเงาวับ,"Reduces the cost of the <color=yellow>Maw of Doom</color> by 20%<sprite=5>. The Maw no longer destroys items it consumes, instead resetting their level or quality.",ลดค่าใช้จ่ายของ <color=yellow>Maw of Doom</color> ลง 20%<sprite=5> The Maw จะไม่ทำลายไอเทมที่บริโภคอีกต่อไป แต่จะรีเซ็ตระดับหรือคุณภาพแทน,"Reduces the cost of the <color=yellow>Maw of Doom</color> by {0}. The Maw no longer destroys items it consumes, instead resetting their level or quality.",ลดค่าร่ายของ <color=yellow>Maw of Doom</color> ลง {0} Maw จะไม่ทำลายไอเท็มที่มันบริโภคอีกต่อไป แต่จะรีเซ็ตระดับหรือคุณภาพแทน,,,Imagination,,4
Se_Star_I_MoreShopItems,Monstrous Charm,เสน่ห์อสูร,There is a 50%<sprite=5> chance for <color=yellow>Jonas</color> to offer 2 additional items for sale.,มีโอกาส 50%<sprite=5> ที่ <color=yellow>Jonas</color> จะเสนอไอเท็มเพิ่มเติม 2 ชิ้นสำหรับการขาย,There is a {0} chance for <color=yellow>Jonas</color> to offer 2 additional items for sale.,มีโอกาส {0} ที่ <color=yellow>โจนาส</color> จะเสนอขายไอเทมเพิ่มเติม 2 ชิ้น,,,Imagination,,3
Se_Star_I_ShopDiscount,Sharp Negotiator,นักเจรจาลิ้นทอง,The <color=yellow>Gold price</color> of items sold by Merchants is reduced by 10%<sprite=5>.,<color=yellow>ราคาทอง</color>ของไอเทมที่ขายโดยพ่อค้าลดลง 10%<sprite=5>,The <color=yellow>Gold price</color> of items sold by Merchants is reduced by {0}.,ราคา <color=yellow>Gold</color> ของไอเท็มที่ขายโดยพ่อค้าจะลดลง {0},,,Imagination,,5
Se_Star_I_ShopRefreshToken,Black Market,ตลาดมืด,"Gain 1<sprite=5> <color=yellow>Platinum Coins</color> at the start of an adventure and whenever you move to a new world, up to a maximum of 3. Use these coins to refresh the Merchant's inventory.",ได้รับ 1<sprite=5> <color=yellow>เหรียญแพลทินัม</color> เมื่อเริ่มการผจญภัยและเมื่อใดก็ตามที่คุณย้ายไปยังโลกใหม่ สูงสุด 3 เหรียญ ใช้เหรียญเหล่านี้เพื่อรีเฟรชสินค้าคงคลังของพ่อค้า,"Gain {0} <color=yellow>Platinum Coins</color> at the start of an adventure and whenever you move to a new world, up to a maximum of {1}. Use these coins to refresh the Merchant's inventory.",รับ {0} <color=yellow>เหรียญแพลตินัม</color> เมื่อเริ่มต้นการผจญภัยและเมื่อใดก็ตามที่คุณย้ายไปยังโลกใหม่ สูงสุดไม่เกิน {1} ใช้เหรียญเหล่านี้เพื่อรีเฟรชสินค้าคงคลังของพ่อค้า,,,Imagination,,3
Se_Star_I_StartGold,Initial Capital,เงินทุนตั้งต้น,Gain 50<sprite=5> <color=yellow>Gold</color> at the start of your adventure.,รับ <color=yellow>Gold</color> 50<sprite=5> เมื่อเริ่มการผจญภัยของคุณ,Gain {0} <color=yellow>Gold</color> at the start of your adventure.,ได้รับ {0} <color=yellow>ทองคำ</color> เมื่อเริ่มต้นการผจญภัยของคุณ,,,Imagination,,4
Se_Star_I_StartSkill,Intersecting Memories,ความทรงจำที่ซ้อนทับ,Acquire a <color=yellow>random</color> level 1<sprite=5> <color=yellow>Memory</color> at the start of your adventure.,"Acquire a <color=yellow>random</color> level 1<sprite=5> <color=yellow>Memory</color> at the start of your adventure.
ได้รับ <color=yellow>Memory</color> เลเวล 1<sprite=5> <color=yellow>แบบสุ่ม</color> เมื่อเริ่มการผจญภัย",Acquire a <color=yellow>random</color> level {0} <color=yellow>Memory</color> at the start of your adventure.,ได้รับ <color=yellow>ความทรงจำ</color> <color=yellow>แบบสุ่ม</color> ระดับ {0} เมื่อเริ่มการผจญภัยของคุณ,,,Imagination,,4
Se_Star_L_Armor,Stone Skin,ผิวกายศิลา,Increases <color=yellow>Armor</color> by 5<sprite=5>.,เพิ่ม <color=yellow>เกราะ</color> ขึ้น 5<sprite=5>,Increases <color=yellow>Armor</color> by {0}.,เพิ่ม <color=yellow>เกราะ</color> ขึ้น {0},,,Life,,5
Se_Star_L_ArmorOnTravel,Ragged Armor,เกราะซอมซ่อ,Gain 2.5<sprite=5> <color=yellow>Armor</color> every time you enter a new world.,ได้รับ 2.5<sprite=5> <color=yellow>เกราะป้องกัน</color> ทุกครั้งที่คุณเข้าสู่โลกใหม่,Gain {0} <color=yellow>Armor</color> every time you enter a new world.,ได้รับ {0} <color=yellow>เกราะ</color> ทุกครั้งที่คุณเข้าสู่โลกใหม่,,,Life,,4
Se_Star_L_DamageReductionFromChilled,Cold Affinity,ญาติแห่งความหนาวเหน็บ,<color=yellow>Damage taken</color> from enemies afflicted with <color=yellow>Chill</color> is reduced by 25%<sprite=5>.,<color=yellow>ความเสียหายที่ได้รับ</color>จากศัตรูที่ติดสถานะ<color=yellow>หนาวเหน็บ</color>จะลดลง 25%<sprite=5>.,<color=yellow>Damage taken</color> from enemies afflicted with <color=yellow>Chill</color> is reduced by {0}.,<color=yellow>ความเสียหายที่ได้รับ</color>จากศัตรูที่ติดสถานะ<color=yellow>แช่แข็ง</color>ลดลง {0},,,Life,,4
Se_Star_L_DodgeCooldown,Threat Detection,ตรวจจับภัยคุกคาม,Reduces <color=yellow>Dodge</color>'s cooldown by 10%<sprite=5>.,ลดคูลดาวน์ของ <color=yellow>Dodge</color> ลง 10%<sprite=5>,Reduces <color=yellow>Dodge</color>'s cooldown by {0}.,ลดคูลดาวน์ของ <color=yellow>Dodge</color> ลง {0},,,Life,,4
Se_Star_L_DodgeCooldownOnLowHealth,Instinctive Movement,เคลื่อนไหวตามสัญชาตญาณ,"When Health is below 50%, <color=yellow>Dodge</color> cooldown is reduced by 20%<sprite=5>.",เมื่อพลังชีวิตต่ำกว่า 50% คูลดาวน์ของ <color=yellow>หลบหลีก</color> จะลดลง 20%<sprite=5>,"When Health is below {0}, <color=yellow>Dodge</color> cooldown is reduced by {1}.","เมื่อพลังชีวิตต่ำกว่า {0}, คูลดาวน์ <color=yellow>หลบหลีก</color> จะลดลง {1}",,,Life,,4
Se_Star_L_ElementalResistance,Elemental Resistance,ต้านทานธาตุ,"Reduces the duration of <color=yellow>elemental effects</color> on you by 40%<sprite=5>. For <color=yellow>Burn</color>, damage is reduced instead.",ลดระยะเวลาของ <color=yellow>เอฟเฟกต์ธาตุ</color> ที่มีผลต่อคุณลง 40%<sprite=5> สำหรับ <color=yellow>เผาไหม้</color> จะลดความเสียหายแทน,"Reduces the duration of <color=yellow>elemental effects</color> on you by {0}. For <color=yellow>Burn</color>, damage is reduced instead.",ลดระยะเวลาของ<color=yellow>เอฟเฟกต์ธาตุ</color>ที่มีผลต่อคุณลง {0} สำหรับ<color=yellow>เผาไหม้</color> จะลดความเสียหายแทน,,,Life,,4
Se_Star_L_FatalHitProtection,Second Wind,แรงฮึด,"When you take <color=yellow>Fatal damage</color>, you ignore that damage and become <color=yellow>Invulnerable</color> for 1<sprite=5> seconds. This can only occur once per game.",เมื่อคุณได้รับ <color=yellow>ความเสียหายถึงตาย</color> คุณจะเพิกเฉยต่อความเสียหายนั้นและกลายเป็น <color=yellow>อมตะ</color> เป็นเวลา 1<sprite=5> วินาที สามารถเกิดขึ้นได้เพียงครั้งเดียวต่อเกม,"When you take <color=yellow>Fatal damage</color>, you ignore that damage and become <color=yellow>Invulnerable</color> for {0} seconds. This can only occur once per game.",เมื่อคุณได้รับความเสียหายระดับ <color=yellow>Fatal damage</color> คุณจะเพิกเฉยต่อความเสียหายนั้น และเป็น <color=yellow>Invulnerable</color> เป็นเวลา {0} วินาที สิ่งนี้จะเกิดขึ้นได้เพียงครั้งเดียวต่อเกม,,,Life,,4
Se_Star_L_GuidanceShrineDiscount,Unconditional Love,รักไม่มีเงื่อนไข,Reduces the cost of <color=yellow>Shrine of Guidance</color> by 25%<sprite=5>.,ลดค่าใช้จ่ายของ <color=yellow>Shrine of Guidance</color> ลง 25%<sprite=5>,Reduces the cost of <color=yellow>Shrine of Guidance</color> by {0}.,ลดค่าใช้จ่ายของ <color=yellow>ศาลเจ้าแห่งการนำทาง</color> ลง {0},,,Life,,4
Se_Star_L_HealOnAttack,Wicked Vitality,พลังชีวิตชั่วร้าย,<color=yellow>Basic Attacks</color> restore 0.40%<sprite=5> of your Max Health on hit. This healing is increased by 150% on a Critical Strike.,<color=yellow>การโจมตีปกติ</color> ฟื้นฟู 0.40%<sprite=5> ของพลังชีวิตสูงสุดของคุณเมื่อโจมตีโดน การฟื้นฟูนี้จะเพิ่มขึ้น 150% เมื่อเป็นคริติคอล,<color=yellow>Basic Attacks</color> restore {0} of your Max Health on hit. This healing is increased by {1} on a Critical Strike.,<color=yellow>การโจมตีพื้นฐาน</color>จะฟื้นฟูพลังชีวิตสูงสุดของคุณ {0} เมื่อโจมตีโดน การฟื้นฟูนี้จะเพิ่มขึ้น {1} เมื่อเป็น Critical Strike,,,Life,,4
Se_Star_L_HealOnKill,Combat First Aid,ปฐมพยาบาลในสนามรบ,Restore 1.00%<sprite=5> of your Max Health whenever you <color=yellow>kill</color> an enemy.,ฟื้นฟู Max Health ของคุณ 1.00%<sprite=5> ทุกครั้งที่คุณ <color=yellow>ฆ่า</color> ศัตรู,Restore {0} of your Max Health whenever you <color=yellow>kill</color> an enemy.,ฟื้นฟู Max Health ของคุณ {0} เมื่อคุณ <color=yellow>กำจัด</color> ศัตรูได้,,,Life,,4
Se_Star_L_MaxHealth,Empowered Persistence,ความทรหดที่เพิ่มพูน,Increases <color=yellow>Maximum Health</color> by 60<sprite=5>.,เพิ่ม <color=yellow>พลังชีวิตสูงสุด</color> ขึ้น 60<sprite=5>,Increases <color=yellow>Maximum Health</color> by {0}.,เพิ่ม <color=yellow>พลังชีวิตสูงสุด</color> ขึ้น {0},,,Life,,4
Se_Star_L_PotionChance,Asclepius,อัสคลีปิอัส,Increases the chance for a <color=yellow>Health Potion</color> to appear by 25%<sprite=5>.,เพิ่มโอกาสที่ <color=yellow>Health Potion</color> จะปรากฏขึ้น 25%<sprite=5>,Increases the chance for a <color=yellow>Health Potion</color> to appear by {0}.,เพิ่มโอกาสที่ <color=yellow>น้ำยาฟื้นฟูพลังชีวิต</color> จะปรากฏขึ้น {0},,,Life,,4
Se_Star_L_PotionHealAmount,Suspicious Mixture,ส่วนผสมน่าสงสัย,Increases the healing amount of <color=yellow>Health Potions</color> by 55%<sprite=5>.,เพิ่มปริมาณการรักษาของ <color=yellow>น้ำยาฟื้นฟูพลังชีวิต</color> ขึ้น 55%<sprite=5>,Increases the healing amount of <color=yellow>Health Potions</color> by {0}.,เพิ่มปริมาณการรักษาของ <color=yellow>ยาฟื้นฟูพลังชีวิต</color> ขึ้น {0},,,Life,,4
Se_Star_L_PotionOnBuyOrSell,Humble Freebie,ของกำนัลเล็กน้อย,Gain a <color=yellow>Health Potion</color> when you buy or sell an item at the shop. This can trigger up to 1<sprite=5> times per merchant.,ได้รับ <color=yellow>ยาเพิ่มพลังชีวิต</color> เมื่อคุณซื้อหรือขายไอเทมที่ร้านค้า สิ่งนี้สามารถเปิดใช้งานได้สูงสุด 1<sprite=5> ครั้งต่อพ่อค้าหนึ่งคน,Gain a <color=yellow>Health Potion</color> when you buy or sell an item at the shop. This can trigger up to {0} times per merchant.,ได้รับ <color=yellow>ยาเพิ่มพลังชีวิต</color> เมื่อคุณซื้อหรือขายไอเท็มที่ร้านค้า สิ่งนี้สามารถเกิดได้สูงสุด {0} ครั้งต่อพ่อค้าหนึ่งคน,,,Life,,3
Se_Star_L_ReceivedHealingAndShieldBonus,Regenerative Skin,ผิวหนังฟื้นสภาพ,Increases received <color=yellow>Healing</color> and <color=yellow>Barrier</color> amounts by 12%<sprite=5>.,เพิ่มปริมาณการ <color=yellow>รักษา</color> และ <color=yellow>บาเรีย</color> ที่ได้รับ 12%<sprite=5>,Increases received <color=yellow>Healing</color> and <color=yellow>Barrier</color> amounts by {0}.,เพิ่มจำนวน <color=yellow>การรักษา</color> และ <color=yellow>บาเรีย</color> ที่ได้รับขึ้น {0},,,Life,,4
Se_Star_L_ScalingMaxHealth,Steel Refinement,การกลั่นเหล็กกล้า,Increases <color=yellow>Maximum Health</color> by 15<sprite=5> each time you level up.,เพิ่ม <color=yellow>พลังชีวิตสูงสุด</color> 15<sprite=5> ทุกครั้งที่คุณเลเวลอัพ,Increases <color=yellow>Maximum Health</color> by {0} each time you level up.,เพิ่ม <color=yellow>พลังชีวิตสูงสุด</color> ขึ้น {0} ทุกครั้งที่คุณเลเวลอัพ,,,Life,,4
Se_Star_Aurena_D_AbilityPower,Drawing a Conclusion,การสรุปผล,Increases <color=yellow>Ability Power</color> by 3<sprite=5>.,เพิ่ม <color=yellow>พลังโจมตีสกิล</color> ขึ้น 3<sprite=5>,Increases <color=yellow>Ability Power</color> by {0}.,เพิ่ม <color=yellow>พลังโจมตีสกิล</color> ขึ้น {0},,,Destruction,Hero_Aurena,3
Se_Star_Aurena_D_AtkSpd,Hypothesis Formation,การตั้งสมมติฐาน,Increases <color=yellow>Attack Speed</color> by 5%<sprite=5>.,เพิ่ม <color=yellow>ความเร็วโจมตี</color> ขึ้น 5%<sprite=5>,Increases <color=yellow>Attack Speed</color> by {0}.,เพิ่ม <color=yellow>ความเร็วโจมตี</color> ขึ้น {0},,,Destruction,Hero_Aurena,3
