"Key","Name_EN","Name_TH","Desc_EN","Desc_TH"
"Gem_C_Sharp","Essence of Sharpness","แก่นแห่งความคม","<color=yellow>Casting</color> this Memory fires 5 arrows that deal <sprite=1><color=#16D7FF>90%</color><sprite=5> <color=yellow>damage</color> to random enemies.","การใช้ความทรงจำนี้ยิงลูกศร 5 ดอกสร้างความเสียหาย 90% ต่อศัตรูสุ่ม"
"Gem_C_Shatter","Essence of Shatter","แก่นแห่งการแตกสลาย","Every 10 seconds, the <color=yellow>cast</color> of this Memory is <color=yellow>empowered</color>. Damage dealt to enemies by the <color=yellow>empowered cast</color> is increased by 40%<sprite=5>. If it deals <color=yellow>Light damage</color>, it is increased by 72%<sprite=5> instead.","ทุก 10 วินาที การใช้ความทรงจำนี้จะถูกเสริมพลัง ความเสียหายต่อศัตรูจากการใช้แบบเสริมพลังเพิ่มขึ้น 40% หากสร้างความเสียหายแสง จะเพิ่มขึ้น 72% แทน"
"Gem_C_Sulfur","Essence of Sulfur","แก่นแห่งกำมะถัน","All <color=yellow>damage</color> dealt by this Memory is increased by 15%<sprite=5> and converted to <color=yellow>Fire damage</color>. Your Fire damage over time is increased by 50%<sprite=5>.","ความเสียหายทั้งหมดจากความทรงจำนี้เพิ่มขึ้น 15% และแปลงเป็นความเสียหายไฟ ความเสียหายไฟต่อเนื่องของคุณเพิ่มขึ้น 50%"
"Gem_C_Talc","Essence of Talc","แก่นแห่งแร่แทลก์","Every 10 seconds, the <color=yellow>cast</color> of this Memory is <color=yellow>empowered</color>. The initial damage dealt to each enemy by the <color=yellow>empowered cast</color> is increased by <sprite=1><color=#16D7FF>400%</color><sprite=5>.","ทุก 10 วินาที การใช้ความทรงจำนี้จะถูกเสริมพลัง ความเสียหายเริ่มต้นต่อศัตรูแต่ละตัวจากการใช้แบบเสริมพลังเพิ่มขึ้น 400%"
"Gem_C_Vengeance","Essence of Vengeance","แก่นแห่งการแก้แค้น","When you take any damage, fire 2 blades that deal <sprite=1><color=#16D7FF>102%</color><sprite=5> <color=yellow>damage</color> to nearby enemies. After taking damage, this Memory's <color=yellow>damage</color> and <color=yellow>healing</color> are increased by 34%<sprite=5> for 5 seconds.","เมื่อคุณได้รับความเสียหาย ยิงใบมีด 2 ดอกสร้างความเสียหาย 102% ต่อศัตรูใกล้เคียง หลังได้รับความเสียหาย ความเสียหายและการฟื้นฟูของความทรงจำนี้เพิ่มขึ้น 34% เป็นเวลา 5 วินาที"
"Gem_C_Void","Essence of the Void","แก่นแห่งห้วงว่าง","After casting this Memory, your next <color=yellow>attack</color> within 4 seconds explodes, dealing <sprite=2><color=#FF8A2D>150%</color><sprite=5> <color=yellow>Dark Damage</color> to the target and nearby enemies.","หลังจากใช้ความทรงจำนี้ การโจมตีครั้งถัดไปภายใน 4 วินาทีจะระเบิด สร้างความเสียหายมืด 150% ต่อเป้าหมายและศัตรูใกล้เคียง"
"Gem_C_Wind","Essence of Wind","แก่นแห่งสายลม","Casting this Memory increases <color=yellow>Attack Speed</color> by 33%<sprite=5> for 5 seconds.","การใช้ความทรงจำนี้เพิ่มความเร็วโจมตี 33% เป็นเวลา 5 วินาที"
"Gem_E_Aftershock","Essence of Aftershock","แก่นแห่งคลื่นสะเทือน","<color=yellow>Casting</color> this Memory releases a delayed <color=yellow>shockwave</color> that deals <sprite=1><color=#16D7FF>200%</color><sprite=5> <color=yellow>Cold damage</color> to enemies around you and <color=yellow>stuns</color> them for 0.5 seconds.
For each enemy hit by this <color=yellow>shockwave</color>, you gain 4<sprite=5> <color=yellow>Armor</color>, up to a maximum of 22<sprite=5> <color=yellow>Armor</color>. When hitting a <color=yellow>boss</color>, you gain the maximum <color=yellow>Armor</color>. This Armor lasts until you <color=yellow>cast</color> this Memory again.","การใช้ความทรงจำนี้ปล่อยคลื่นสะเทือนล่าช้าสร้างความเสียหายน้ำแข็ง 200% ต่อศัตรูรอบตัวและสตัน 0.5 วินาที
ศัตรูแต่ละตัวที่โดนคลื่นสะเทือนนี้ คุณได้รับเกราะ 4 สูงสุด 22 เกราะ เมื่อโจมตีบอส คุณได้รับเกราะสูงสุด เกราะนี้คงอยู่จนกว่าคุณจะใช้ความทรงจำนี้อีกครั้ง"
"Gem_E_Blossom","Essence of Blossoming","แก่นแห่งการผลิบาน","This Memory deals 70% less <color=yellow>damage</color> to enemies. When it deals <color=yellow>damage</color>, it <color=yellow>heals</color> a random nearby ally for 22%<sprite=5> of the <color=yellow>damage dealt</color>.","ความทรงจำนี้สร้างความเสียหายต่อศัตรูลดลง 70% เมื่อสร้างความเสียหาย จะฟื้นฟูพันธมิตรใกล้เคียงสุ่ม 22% ของความเสียหายที่สร้าง"
"Gem_E_Clemency","Essence of Clemency","แก่นแห่งความเมตตา","<color=yellow>Restore</color> <color=yellow>your</color> Health for 4%<sprite=5> of the <color=yellow>damage</color> dealt by this Memory.","ฟื้นฟูพลังชีวิต 4% ของความเสียหายที่ความทรงจำนี้สร้าง"
"Gem_E_Crimson","Essence of Crimson","แก่นแห่งสีเลือดหมู","Every 4th <color=yellow>Basic Attack</color> becomes <color=yellow>empowered</color>, triggering a <color=yellow>Crimson Explosion</color> that deals <sprite=2><color=#FF8A2D>100%</color><sprite=5> <color=yellow>Dark Damage</color> to enemies. The explosion radius scales with your <color=yellow>Critical Strike Chance</color>.
You <color=yellow>restore</color> <sprite=2><color=#FF8A2D>22%</color><sprite=5> Health for each enemy hit by the explosion, increased by 100% if the target is a <color=yellow>Boss</color>.","การโจมตีพื้นฐานทุกครั้งที่ 4 จะถูกเสริมพลัง ทำให้เกิดการระเบิดสีเลือดหมูสร้างความเสียหายมืด 100% ต่อศัตรู รัศมีระเบิดขึ้นกับโอกาสคริติคอลของคุณ
คุณฟื้นฟูพลังชีวิต 22% ต่อศัตรูแต่ละตัวที่โดนระเบิด เพิ่มขึ้น 100% หากเป้าหมายเป็นบอส"
"Gem_E_Direness","Essence of Direness","แก่นแห่งความน่ากลัว","The lower your <color=yellow>Health</color>, the shorter the <color=yellow>cooldown</color> of this Memory. When your <color=yellow>Health</color> is at 30%, the <color=yellow>cooldown</color> is reduced by up to 55%<sprite=5>.","พลังชีวิตของคุณยิ่งต่ำ คูลดาวน์ของความทรงจำนี้ยิ่งสั้น เมื่อพลังชีวิตอยู่ที่ 30% คูลดาวน์ลดลงสูงสุด 55%"
"Gem_E_Domination","Essence of Domination","แก่นแห่งการครอบงำ","Increases <color=yellow>Critical Strike Chance</color> by 20%. Each time you land a critical strike on an enemy, your <color=yellow>Critical Strike Damage</color> increases by 0.3%, stacking up to 20%<sprite=5>. ","เพิ่มโอกาสคริติคอล 20% ทุกครั้งที่คุณคริติคอลศัตรู ความเสียหายคริติคอลเพิ่มขึ้น 0.3% ซ้อนได้สูงสุด 20%"
"Gem_E_Fangs","Essence of Fangs","แก่นแห่งเขี้ยว","Every 4th <color=yellow>basic attack</color> is a <color=yellow>critical strike</color>. When you land a <color=yellow>critical strike</color>, this Memory's <color=yellow>cooldown</color> is reduced by 0.7<sprite=5> seconds and launches 2 <color=yellow>Fangs</color> at nearby enemies, each dealing <sprite=2><color=#FF8A2D>60%</color><sprite=5> <color=yellow>damage</color>.","การโจมตีพื้นฐานทุกครั้งที่ 4 เป็นคริติคอล เมื่อคุณคริติคอล คูลดาวน์ของความทรงจำนี้ลดลง 0.7 วินาทีและยิงเขี้ยว 2 ดอกไปยังศัตรูใกล้เคียง แต่ละดอกสร้างความเสียหาย 60%"
"Gem_E_Fever","Essence of Fever","แก่นแห่งไข้","When this Memory deals <color=yellow>Fire damage</color> to an enemy, it infects them with <color=yellow>Fever</color>. Enemies infected with <color=yellow>Fever</color> explode after 2 seconds, dealing <sprite=1><color=#16D7FF>130%</color><sprite=5> <color=yellow>Fire damage</color> to themselves and nearby enemies. For each <color=yellow>Fire stack</color> on the target, the explosion radius increases by 30% and explosion damage increases by 10%.","เมื่อความทรงจำนี้สร้างความเสียหายไฟต่อศัตรู จะติดเชื้อไข้ ศัตรูที่ติดเชื้อไข้จะระเบิดหลัง 2 วินาที สร้างความเสียหายไฟ 130% ต่อตัวเองและศัตรูใกล้เคียง สแต็กไฟแต่ละสแต็กบนเป้าหมาย รัศมีระเบิดเพิ่มขึ้น 30% และความเสียหายระเบิดเพิ่มขึ้น 10%"
"Gem_E_Flexibility","Essence of Flexibility","แก่นแห่งความยืดหยุ่น","While this Memory is on <color=yellow>cooldown</color>, 37%<sprite=5> of damage taken is <color=yellow>split</color> over 4 seconds. This <color=yellow>split</color> damage is reduced by 20%.","ขณะที่ความทรงจำนี้อยู่ในคูลดาวน์ ความเสียหายที่ได้รับ 37% จะถูกแบ่งตลอด 4 วินาที ความเสียหายที่แบ่งนี้ลดลง 20%"
"Gem_E_Insensitivity","Essence of Insensitivity","แก่นแห่งความไร้ความรู้สึก","<color=yellow>Casting</color> this Memory drops a <color=yellow>bomb</color> for every 2m you travel over the next 3 seconds. Each bomb explodes after a brief delay, dealing <sprite=1><color=#16D7FF>140%</color><sprite=5> <color=yellow>Fire damage</color> to enemies.","การใช้ความทรงจำนี้วางระเบิดทุก 2 เมตรที่คุณเดินทางในอีก 3 วินาทีถัดไป ระเบิดแต่ละลูกจะระเบิดหลังจากหน่วงเวลาสั้นๆ สร้างความเสียหายไฟ 140% ต่อศัตรู"
"Gem_E_Insight","Essence of Insight","แก่นแห่งความเข้าใจ","When this Memory deals any <color=yellow>damage</color> to an enemy, it deals an additional <sprite=1><color=#16D7FF>200%</color><sprite=5> <color=yellow>Light damage</color> to up to 3<sprite=5> enemies and increases <color=yellow>Memory Haste</color> by 20<sprite=5> for 5 seconds. Can only trigger once every 3 seconds.","เมื่อความทรงจำนี้สร้างความเสียหายต่อศัตรู จะสร้างความเสียหายแสงเพิ่มเติม 200% ต่อศัตรูสูงสุด 3 ตัวและเพิ่มความเร็วความทรงจำ 20 เป็นเวลา 5 วินาที ทริกเกอร์ได้ทุก 3 วินาที"
"Gem_E_Inversion","Essence of Inversion","แก่นแห่งการกลับด้าน","This Memory's <color=yellow>cooldown</color> increases by 15%<sprite=5>, but it also deals 20%<sprite=5> more <color=yellow>damage</color> to enemies. Its <color=yellow>elemental damage</color> is <color=yellow>inverted</color> (Fire/Cold, Light/Dark).","คูลดาวน์ของความทรงจำนี้เพิ่มขึ้น 15% แต่สร้างความเสียหายต่อศัตรูเพิ่มขึ้น 20% ความเสียหายธาตุจะกลับด้าน (ไฟ/น้ำแข็ง, แสง/มืด)"
"Gem_E_Metal","Essence of Metal","แก่นแห่งโลหะ","When you <color=yellow>kill</color> an enemy, the <color=yellow>cooldown</color> of this Memory is <color=yellow>reduced</color> by 1<sprite=5> seconds.","เมื่อคุณฆ่าศัตรู คูลดาวน์ของความทรงจำนี้ลดลง 1 วินาที"
"Gem_E_Might","Essence of the Giant","แก่นแห่งยักษ์","Increases Maximum Health by 260<sprite=5>. This Memory's damage increases by 1% for every 50 points of your <color=yellow>Maximum Health</color>.","เพิ่มพลังชีวิตสูงสุด 260 ความเสียหายของความทรงจำนี้เพิ่มขึ้น 1% ทุก 50 พอยต์ของพลังชีวิตสูงสุด"
"Gem_E_Obsidian","Essence of Obsidian","แก่นแห่งหินออบซิเดียน","<color=yellow>Casting</color> this Memory <color=yellow>empowers</color> your next attack within 5 seconds. The <color=yellow>empowered attack</color> deals <sprite=2><color=#FF8A2D>250%</color><sprite=5> <color=yellow>Dark Damage</color> to the target and reduces this Memory's <color=yellow>cooldown</color> by 1<sprite=5> seconds.","การใช้ความทรงจำนี้เสริมพลังการโจมตีครั้งถัดไปภายใน 5 วินาที การโจมตีแบบเสริมพลังสร้างความเสียหายมืด 250% ต่อเป้าหมายและลดคูลดาวน์ของความทรงจำนี้ 1 วินาที"
"Gem_E_Omega","Essence of Finality","แก่นแห่งจุดจบ","While this Memory is not on <color=yellow>cooldown</color>, gain stacks of <color=yellow>Finality</color> every second up to 20 stacks. When stacks are present, this Memory's <color=yellow>cast</color> is <color=yellow>empowered</color>, increasing <color=yellow>damage</color> by 5%<sprite=5> per stack.","ขณะที่ความทรงจำนี้ไม่อยู่ในคูลดาวน์ ได้รับสแต็กจุดจบทุกวินาทีสูงสุด 20 สแต็ก เมื่อมีสแต็ก การใช้ความทรงจำนี้จะถูกเสริมพลัง เพิ่มความเสียหาย 5% ต่อสแต็ก"
"Gem_E_Opportunity","Essence of Opportunity","แก่นแห่งโอกาส","<color=yellow>Casting</color> this Memory reduces the <color=yellow>cooldown</color> of your <color=yellow>Dodge</color> by 3<sprite=5> seconds. Can only trigger once every 8 seconds.","การใช้ความทรงจำนี้ลดคูลดาวน์การหลบของคุณ 3 วินาที ทริกเกอร์ได้ทุก 8 วินาที"
"Gem_E_OurStory_Completed","Our Story (Completed!)","เรื่องราวของเรา (เสร็จสมบูรณ์!)","Increases <color=yellow>Attack Damage</color> and <color=yellow>Ability Power</color> by 0, and the effects of all buffs from <color=yellow>Distorting Rush</color> by 0.","เพิ่มความเสียหายโจมตีและพลังความสามารถ 0 และเอฟเฟกต์ของบัฟทั้งหมดจาก Distorting Rush 0"
"Gem_E_OurStory_Unfinished","Our Story (Work in Progress)","เรื่องราวของเรา (ยังไม่เสร็จ)","Quality increases by 50% every time you <color=yellow>defeat</color> 75 enemies. It becomes <color=yellow>completed</color> when quality reaches 500%.","คุณภาพเพิ่มขึ้น 50% ทุกครั้งที่คุณเอาชนะศัตรู 75 ตัว จะเสร็จสมบูรณ์เมื่อคุณภาพถึง 500%"
"Gem_E_Overload","Essence of Overload","แก่นแห่งภาระเกิน","When you <color=yellow>cast</color> this Memory, <color=yellow>sacrifice</color> 20% of your current Health to <color=yellow>empower</color> the <color=yellow>cast</color>. The <color=yellow>damage</color> and <color=yellow>healing</color> dealt by the <color=yellow>empowered cast</color> are increased by 45%<sprite=5>.","เมื่อคุณใช้ความทรงจำนี้ เสียสละพลังชีวิตปัจจุบัน 20% เพื่อเสริมพลังการใช้ ความเสียหายและการฟื้นฟูจากการใช้แบบเสริมพลังเพิ่มขึ้น 45%"
"Gem_E_Pain","Essence of Pain","แก่นแห่งความเจ็บปวด","All <color=yellow>damage</color> dealt by this Memory deals 40%<sprite=5> <color=yellow>Area damage</color> around the target. This <color=yellow>Area damage</color> shares the elemental type with the original damage.","ความเสียหายทั้งหมดจากความทรงจำนี้สร้างความเสียหายพื้นที่ 40% รอบเป้าหมาย ความเสียหายพื้นที่นี้มีธาตุเดียวกับความเสียหายต้นฉบับ"
"Gem_E_Predation","Essence of Predation","แก่นแห่งการล่าเหยื่อ","This Memory deals 60%<sprite=5> increased damage to <color=yellow>Bosses</color> and <color=yellow>Hunters</color>. Defeating a <color=yellow>Hunter</color> drops 1 <color=yellow>Orbs of Power</color>, while defeating a <color=yellow>Boss</color> drops 3. When you collect an <color=yellow>Orb of Power</color>, either <color=yellow>Attack Damage</color> or <color=yellow>Ability Power</color> permanently increases by 1 at random.","ความทรงจำนี้สร้างความเสียหายเพิ่มขึ้น 60% ต่อบอสและนักล่า การเอาชนะนักล่าดรอปลูกแก้วพลัง 1 ลูก ส่วนบอสดรอป 3 ลูก เมื่อคุณเก็บลูกแก้วพลัง ความเสียหายโจมตีหรือพลังความสามารถจะเพิ่มขึ้นถาวร 1 แบบสุ่ม"
"Gem_E_Protection","Essence of Protection","แก่นแห่งการปกป้อง","<color=yellow>Casting</color> this Memory grants 40<sprite=5> <color=yellow>Armor</color> for 3 seconds, reducing damage taken and making you <color=yellow>Unstoppable</color>. Can only trigger once every 5 seconds.","การใช้ความทรงจำนี้ให้เกราะ 40 เป็นเวลา 3 วินาที ลดความเสียหายที่ได้รับและทำให้คุณหยุดไม่ได้ ทริกเกอร์ได้ทุก 5 วินาที"
"Gem_E_Reflex","Essence of Reflex","แก่นแห่งการสะท้อนกลับ","When you take any <color=yellow>damage</color>, unleash cold toward the nearest enemy, dealing <sprite=1><color=#16D7FF>120%</color><sprite=5> <color=yellow>Cold Damage</color> and knocking them back, then increase your <color=yellow>Armor</color> by 40<sprite=5> for 1.5 seconds.","เมื่อคุณได้รับความเสียหาย ปล่อยความเย็นไปยังศัตรูที่ใกล้ที่สุด สร้างความเสียหายน้ำแข็ง 120% และผลักพวกเขาออกไป จากนั้นเพิ่มเกราะ 40 เป็นเวลา 1.5 วินาที"
"Gem_E_Thunder","Essence of Thunder","แก่นแห่งฟ้าร้อง","<color=yellow>Casting</color> <color=yellow>another Memory</color> or using <color=yellow>Dodge</color> grants 1 <color=yellow>Thunder</color> stack, up to 7<sprite=5> times. <color=yellow>Casting</color> this Memory consumes all <color=yellow>Thunder</color> stacks, calling down lightning on nearby enemies once for each stack. Each lightning deals <sprite=1><color=#16D7FF>117%</color><sprite=5> <color=yellow>Light damage</color>.","การใช้ความทรงจำอื่นหรือใช้การหลบให้สแต็กฟ้าร้อง 1 สูงสุด 7 ครั้ง การใช้ความทรงจำนี้ใช้สแต็กฟ้าร้องทั้งหมด เรียกฟ้าผ่าลงมาที่ศัตรูใกล้เคียงครั้งละ 1 ต่อสแต็ก ฟ้าผ่าแต่ละครั้งสร้างความเสียหายแสง 117%"
"Gem_E_Twilight","Essence of Twilight","แก่นแห่งพลบค่ำ","Your <color=yellow>basic attacks</color> are converted to <color=yellow>Dark damage</color>. When this Memory deals damage to an enemy with 3 or more <color=yellow>Dark stacks</color>, consumes all stacks to deal <sprite=1><color=#16D7FF>54%</color><sprite=5> <color=yellow>damage</color> per stack and <color=yellow>heal</color> for 6<sprite=5> per stack.","การโจมตีพื้นฐานของคุณถูกแปลงเป็นความเสียหายมืด เมื่อความทรงจำนี้สร้างความเสียหายต่อศัตรูที่มีสแต็กมืด 3 ขึ้นไป ใช้สแต็กทั้งหมดเพื่อสร้างความเสียหาย 54% ต่อสแต็กและฟื้นฟู 6 ต่อสแต็ก"
"Gem_E_Umbra","Essence of Umbra","แก่นแห่งเงามืด","This memory's damage is increased by 42%<sprite=5> of your <color=yellow>Critical Strike Chance</color>. If the <color=yellow>Damage</color> is <color=yellow>Dark Damage</color>, <color=yellow>Restore</color> 6%<sprite=5> of the damage dealt as <color=yellow>Health</color>.","ความเสียหายของความทรงจำนี้เพิ่มขึ้น 42% ของโอกาสคริติคอลของคุณ หากเป็นความเสียหายมืด ฟื้นฟูพลังชีวิต 6% ของความเสียหายที่สร้าง"
"Gem_E_Virtuousness","Essence of Virtue","แก่นแห่งคุณธรรม","The number of charges for this Memory increases by 1<sprite=5>. Each 150% increase in quality raises the number of charges by 1.","จำนวนชาร์จของความทรงจำนี้เพิ่มขึ้น 1 คุณภาพเพิ่มขึ้นทุก 150% จะเพิ่มจำนวนชาร์จ 1"
"Gem_L_CamillasGift","Camilla's Gift","ของขวัญคามิลลา","Can be <color=yellow>sold</color> at the shop for 0 Gold. The <color=yellow>price</color> <color=yellow>increases</color> by 0 each time you move to a next world. It breaks if your Health drops below 50% from enemy damage.","สามารถขายที่ร้านค้าได้ 0 ทอง ราคาเพิ่มขึ้น 0 ทุกครั้งที่คุณไปโลกถัดไป จะแตกหากพลังชีวิตของคุณลดลงต่ำกว่า 50% จากความเสียหายของศัตรู"
"Gem_L_ChaosApple","Apple of Discord","แอปเปิลแห่งความบาดหมาง","Each time you <color=yellow>move</color> through a <color=yellow>Rift</color>, this Memory is temporarily <color=yellow>transformed</color> into a different random Memory. The <color=yellow>transformed</color> Memory has no <color=yellow>cooldown</color>, but can only be <color=yellow>cast</color> 4<sprite=5> times per room, and returns to the original Memory when all casts are used.","ทุกครั้งที่คุณเคลื่อนผ่านรอยแยก ความทรงจำนี้จะถูกแปลงชั่วคราวเป็นความทรงจำสุ่มอื่น ความทรงจำที่แปลงไม่มีคูลดาวน์ แต่ใช้ได้เพียง 4 ครั้งต่อห้อง และกลับเป็นความทรงจำเดิมเมื่อใช้ครบทุกครั้ง"
"Gem_L_DivineFaith","Divine Faith","ศรัทธาศักดิ์สิทธิ์","Each time you <color=yellow>kill</color> an enemy with this Memory, gain a stack of <color=yellow>Faith</color> up to 75<sprite=5> stacks. For each stack of <color=yellow>Faith</color>, this Memory's <color=yellow>damage</color> to enemies and <color=yellow>healing</color> to allies increases by 0.5%, and your Maximum Health increases by 4.","ทุกครั้งที่คุณฆ่าศัตรูด้วยความทรงจำนี้ ได้รับสแต็กศรัทธาสูงสุด 75 สแต็ก สแต็กศรัทธาแต่ละสแต็ก ความเสียหายต่อศัตรูและการฟื้นฟูพันธมิตรของความทรงจำนี้เพิ่มขึ้น 0.5% และพลังชีวิตสูงสุดเพิ่มขึ้น 4"
"Gem_L_Embertail","Embertail","หางเปลวไฟ","Your <color=yellow>attacks</color> ricochet to deal <sprite=1><color=#16D7FF>100%</color><sprite=5> <color=yellow>Fire damage</color> to a nearby enemy. For each nearby enemy engulfed in flames, this Memory's <color=yellow>damage</color> and <color=yellow>healing</color> are increased by 8%<sprite=5> and its <color=yellow>cooldown</color> is reduced by 8%<sprite=5>. Your Fire damage over time is increased by 100%.","การโจมตีของคุณสะท้อนสร้างความเสียหายไฟ 100% ต่อศัตรูใกล้เคียง ศัตรูใกล้เคียงแต่ละตัวที่ถูกเปลวไฟห่อหุ้ม ความเสียหายและการฟื้นฟูของความทรงจำนี้เพิ่มขึ้น 8% และคูลดาวน์ลดลง 8% ความเสียหายไฟต่อเนื่องของคุณเพิ่มขึ้น 100%"
"Gem_L_HeartOfGold","Heart of Gold","หัวใจทองคำ","<color=yellow>Casting</color> this Memory consumes 3% of your Gold to <color=yellow>empower</color> the cast. <color=yellow>Damage</color> and <color=yellow>healing</color> from the <color=yellow>empowered cast</color> increase by 12%<sprite=5> for every 100 Gold you have.
","การใช้ความทรงจำนี้ใช้ทอง 3% เพื่อเสริมพลังการใช้ ความเสียหายและการฟื้นฟูจากการใช้แบบเสริมพลังเพิ่มขึ้น 12% ทุก 100 ทองที่คุณมี
"
"Gem_L_MetalCrystal","Metallic Crystal","คริสตัลโลหะ","The parts exposed to light glow with surreal colors.","ส่วนที่โดนแสงเรืองแสงด้วยสีเหนือจริง"
"Gem_L_Paranoia","Essence of Paranoia","แก่นแห่งหวาดระแวง","When you take any <color=yellow>damage</color>, this Memory gains 150<sprite=5> <color=yellow>Memory Haste</color> for 6 seconds, reducing its <color=yellow>cooldown</color> by 60%<sprite=5>, but it is <color=yellow>automatically cast</color> on nearby enemies.","เมื่อคุณได้รับความเสียหาย ความทรงจำนี้ได้รับความเร็วความทรงจำ 150 เป็นเวลา 6 วินาที ลดคูลดาวน์ 60% แต่จะถูกใช้อัตโนมัติกับศัตรูใกล้เคียง"
"Gem_L_Perfect","Perfection","ความสมบูรณ์แบบ","Increases Attack Damage by 7<sprite=5>, Ability Power by 7<sprite=5>, Maximum Health by 35<sprite=5>, Attack Speed by 10%<sprite=5>, Critical Strike Chance by 6%<sprite=5>, and Memory Haste by 10<sprite=5>.","เพิ่มความเสียหายโจมตี 7 พลังความสามารถ 7 พลังชีวิตสูงสุด 35 ความเร็วโจมตี 10% โอกาสคริติคอล 6% และความเร็วความทรงจำ 10"
"Gem_L_PureWhite","Pure White","ขาวบริสุทธิ์","Every 10 seconds, the <color=yellow>cast</color> of this Memory is <color=yellow>empowered</color>. The <color=yellow>empowered cast</color> fires 3 <color=yellow>projectiles</color>, dealing <color=yellow>Light damage</color> equal to 20%<sprite=5> of the initial <color=yellow>damage</color> dealt to each enemy. The number of shots increases by the number of <color=yellow>Light stacks</color> on each target.","ทุก 10 วินาที การใช้ความทรงจำนี้จะถูกเสริมพลัง การใช้แบบเสริมพลังยิงกระสุน 3 ดอก สร้างความเสียหายแสงเท่ากับ 20% ของความเสียหายเริ่มต้นต่อศัตรูแต่ละตัว จำนวนกระสุนเพิ่มขึ้นตามจำนวนสแต็กแสงบนเป้าหมายแต่ละตัว"
