"Key","Name_EN","Name_TH","Desc_EN","Desc_TH"
"Gem_C_Vengeance","Essence of Vengeance","แก่นแห่งการแก้แค้น","When you take any damage, fire 2 blades that deal 102% damage to nearby enemies. After taking damage, this Memory's damage and healing are increased by 34% for 5 seconds.","เมื่อคุณได้รับความเสียหาย ยิงใบมีด 2 ดอกสร้างความเสียหาย 102% ต่อศัตรูใกล้เคียง หลังได้รับความเสียหาย ความเสียหายและการฟื้นฟูของความทรงจำนี้เพิ่มขึ้น 34% เป็นเวลา 5 วินาที"
"Gem_C_Void","Essence of the Void","แก่นแห่งห้วงว่าง","After casting this Memory, your next attack within 4 seconds explodes, dealing 150% Dark Damage to the target and nearby enemies.","หลังจากใช้ความทรงจำนี้ การโจมตีครั้งถัดไปภายใน 4 วินาทีจะระเบิด สร้างความเสียหายมืด 150% ต่อเป้าหมายและศัตรูใกล้เคียง"
"Gem_C_Wind","Essence of Wind","แก่นแห่งสายลม","Casting this Memory increases Attack Speed by 33% for 5 seconds.","การใช้ความทรงจำนี้เพิ่มความเร็วโจมตี 33% เป็นเวลา 5 วินาที"
"Gem_E_Aftershock","Essence of Aftershock","แก่นแห่งคลื่นสะเทือน","Casting this Memory releases a delayed shockwave that deals 200% Cold damage to enemies around you and stuns them for 0.5 seconds. [NEWLINE] For each enemy hit by this shockwave, you gain 4 Armor, up to a maximum of 22 Armor. When hitting a boss, you gain the maximum Armor. This Armor lasts until you cast this Memory again.","การใช้ความทรงจำนี้ปล่อยคลื่นสะเทือนล่าช้าสร้างความเสียหายน้ำแข็ง 200% ต่อศัตรูรอบตัวและสตัน 0.5 วินาที [NEWLINE] ศัตรูแต่ละตัวที่โดนคลื่นสะเทือนนี้ คุณได้รับเกราะ 4 สูงสุด 22 เกราะ เมื่อโจมตีบอส คุณได้รับเกราะสูงสุด เกราะนี้คงอยู่จนกว่าคุณจะใช้ความทรงจำนี้อีกครั้ง"
"Gem_E_Blossom","Essence of Blossoming","แก่นแห่งการผลิบาน","This Memory deals 70% less damage to enemies. When it deals damage, it heals a random nearby ally for 22% of the damage dealt.","ความทรงจำนี้สร้างความเสียหายต่อศัตรูลดลง 70% เมื่อสร้างความเสียหาย จะฟื้นฟูพันธมิตรใกล้เคียงสุ่ม 22% ของความเสียหายที่สร้าง"
"Gem_E_Clemency","Essence of Clemency","แก่นแห่งความเมตตา","Restore your Health for 4% of the damage dealt by this Memory.","ฟื้นฟูพลังชีวิต 4% ของความเสียหายที่ความทรงจำนี้สร้าง"
"Gem_E_Crimson","Essence of Crimson","แก่นแห่งสีเลือดหมู","Every 4th Basic Attack becomes empowered, triggering a Crimson Explosion that deals 100% Dark Damage to enemies. The explosion radius scales with your Critical Strike Chance. [NEWLINE] You restore 22% Health for each enemy hit by the explosion, increased by 100% if the target is a Boss.","การโจมตีพื้นฐานทุกครั้งที่ 4 จะถูกเสริมพลัง ทำให้เกิดการระเบิดสีเลือดหมูสร้างความเสียหายมืด 100% ต่อศัตรู รัศมีระเบิดขึ้นกับโอกาสคริติคอลของคุณ [NEWLINE] คุณฟื้นฟูพลังชีวิต 22% ต่อศัตรูแต่ละตัวที่โดนระเบิด เพิ่มขึ้น 100% หากเป้าหมายเป็นบอส"
"Gem_E_Direness","Essence of Direness","แก่นแห่งความน่ากลัว","The lower your Health, the shorter the cooldown of this Memory. When your Health is at 30%, the cooldown is reduced by up to 55%.","พลังชีวิตของคุณยิ่งต่ำ คูลดาวน์ของความทรงจำนี้ยิ่งสั้น เมื่อพลังชีวิตอยู่ที่ 30% คูลดาวน์ลดลงสูงสุด 55%"
"Gem_E_Domination","Essence of Domination","แก่นแห่งการครอบงำ","Increases Critical Strike Chance by 20%. Each time you land a critical strike on an enemy, your Critical Strike Damage increases by 0.3%, stacking up to 20%. ","เพิ่มโอกาสคริติคอล 20% ทุกครั้งที่คุณคริติคอลศัตรู ความเสียหายคริติคอลเพิ่มขึ้น 0.3% ซ้อนได้สูงสุด 20%"
"Gem_E_Fangs","Essence of Fangs","แก่นแห่งเขี้ยว","Every 4th basic attack is a critical strike. When you land a critical strike, this Memory's cooldown is reduced by 0.7 seconds and launches 2 Fangs at nearby enemies, each dealing 60% damage.","การโจมตีพื้นฐานทุกครั้งที่ 4 เป็นคริติคอล เมื่อคุณคริติคอล คูลดาวน์ของความทรงจำนี้ลดลง 0.7 วินาทีและยิงเขี้ยว 2 ดอกไปยังศัตรูใกล้เคียง แต่ละดอกสร้างความเสียหาย 60%"
"Gem_E_Fever","Essence of Fever","แก่นแห่งไข้","When this Memory deals Fire damage to an enemy, it infects them with Fever. Enemies infected with Fever explode after 2 seconds, dealing 130% Fire damage to themselves and nearby enemies. For each Fire stack on the target, the explosion radius increases by 30% and explosion damage increases by 10%.","เมื่อความทรงจำนี้สร้างความเสียหายไฟต่อศัตรู จะติดเชื้อไข้ ศัตรูที่ติดเชื้อไข้จะระเบิดหลัง 2 วินาที สร้างความเสียหายไฟ 130% ต่อตัวเองและศัตรูใกล้เคียง สแต็กไฟแต่ละสแต็กบนเป้าหมาย รัศมีระเบิดเพิ่มขึ้น 30% และความเสียหายระเบิดเพิ่มขึ้น 10%"
"Gem_E_Flexibility","Essence of Flexibility","แก่นแห่งความยืดหยุ่น","While this Memory is on cooldown, 37% of damage taken is split over 4 seconds. This split damage is reduced by 20%.","ขณะที่ความทรงจำนี้อยู่ในคูลดาวน์ ความเสียหายที่ได้รับ 37% จะถูกแบ่งตลอด 4 วินาที ความเสียหายที่แบ่งนี้ลดลง 20%"
"Gem_E_Insensitivity","Essence of Insensitivity","แก่นแห่งความไร้ความรู้สึก","Casting this Memory drops a bomb for every 2m you travel over the next 3 seconds. Each bomb explodes after a brief delay, dealing 140% Fire damage to enemies.","การใช้ความทรงจำนี้วางระเบิดทุก 2 เมตรที่คุณเดินทางในอีก 3 วินาทีถัดไป ระเบิดแต่ละลูกจะระเบิดหลังจากหน่วงเวลาสั้นๆ สร้างความเสียหายไฟ 140% ต่อศัตรู"
"Gem_E_Insight","Essence of Insight","แก่นแห่งความเข้าใจ","When this Memory deals any damage to an enemy, it deals an additional 200% Light damage to up to 3 enemies and increases Memory Haste by 20 for 5 seconds. Can only trigger once every 3 seconds.","เมื่อความทรงจำนี้สร้างความเสียหายต่อศัตรู จะสร้างความเสียหายแสงเพิ่มเติม 200% ต่อศัตรูสูงสุด 3 ตัวและเพิ่มความเร็วความทรงจำ 20 เป็นเวลา 5 วินาที ทริกเกอร์ได้ทุก 3 วินาที"
"Gem_E_Inversion","Essence of Inversion","แก่นแห่งการกลับด้าน","This Memory's cooldown increases by 15%, but it also deals 20% more damage to enemies. Its elemental damage is inverted (Fire/Cold, Light/Dark).","คูลดาวน์ของความทรงจำนี้เพิ่มขึ้น 15% แต่สร้างความเสียหายต่อศัตรูเพิ่มขึ้น 20% ความเสียหายธาตุจะกลับด้าน (ไฟ/น้ำแข็ง, แสง/มืด)"
"Gem_E_Metal","Essence of Metal","แก่นแห่งโลหะ","When you kill an enemy, the cooldown of this Memory is reduced by 1 seconds.","เมื่อคุณฆ่าศัตรู คูลดาวน์ของความทรงจำนี้ลดลง 1 วินาที"
"Gem_E_Might","Essence of the Giant","แก่นแห่งยักษ์","Increases Maximum Health by 260. This Memory's damage increases by 1% for every 50 points of your Maximum Health.","เพิ่มพลังชีวิตสูงสุด 260 ความเสียหายของความทรงจำนี้เพิ่มขึ้น 1% ทุก 50 พอยต์ของพลังชีวิตสูงสุด"
"Gem_E_Obsidian","Essence of Obsidian","แก่นแห่งหินออบซิเดียน","Casting this Memory empowers your next attack within 5 seconds. The empowered attack deals 250% Dark Damage to the target and reduces this Memory's cooldown by 1 seconds.","การใช้ความทรงจำนี้เสริมพลังการโจมตีครั้งถัดไปภายใน 5 วินาที การโจมตีแบบเสริมพลังสร้างความเสียหายมืด 250% ต่อเป้าหมายและลดคูลดาวน์ของความทรงจำนี้ 1 วินาที"
"Gem_E_Omega","Essence of Finality","แก่นแห่งจุดจบ","While this Memory is not on cooldown, gain stacks of Finality every second up to 20 stacks. When stacks are present, this Memory's cast is empowered, increasing damage by 5% per stack.","ขณะที่ความทรงจำนี้ไม่อยู่ในคูลดาวน์ ได้รับสแต็กจุดจบทุกวินาทีสูงสุด 20 สแต็ก เมื่อมีสแต็ก การใช้ความทรงจำนี้จะถูกเสริมพลัง เพิ่มความเสียหาย 5% ต่อสแต็ก"
"Gem_E_Opportunity","Essence of Opportunity","แก่นแห่งโอกาส","Casting this Memory reduces the cooldown of your Dodge by 3 seconds. Can only trigger once every 8 seconds.","การใช้ความทรงจำนี้ลดคูลดาวน์การหลบของคุณ 3 วินาที ทริกเกอร์ได้ทุก 8 วินาที"
"Gem_E_OurStory_Completed","Our Story (Completed!)","เรื่องราวของเรา (เสร็จสมบูรณ์!)","Increases Attack Damage and Ability Power by 0, and the effects of all buffs from Distorting Rush by 0.","เพิ่มความเสียหายโจมตีและพลังความสามารถ 0 และเอฟเฟกต์ของบัฟทั้งหมดจาก Distorting Rush 0"
"Gem_E_OurStory_Unfinished","Our Story (Work in Progress)","เรื่องราวของเรา (ยังไม่เสร็จ)","Quality increases by 50% every time you defeat 75 enemies. It becomes completed when quality reaches 500%.","คุณภาพเพิ่มขึ้น 50% ทุกครั้งที่คุณเอาชนะศัตรู 75 ตัว จะเสร็จสมบูรณ์เมื่อคุณภาพถึง 500%"
"Gem_E_Overload","Essence of Overload","แก่นแห่งภาระเกิน","When you cast this Memory, sacrifice 20% of your current Health to empower the cast. The damage and healing dealt by the empowered cast are increased by 45%.","เมื่อคุณใช้ความทรงจำนี้ เสียสละพลังชีวิตปัจจุบัน 20% เพื่อเสริมพลังการใช้ ความเสียหายและการฟื้นฟูจากการใช้แบบเสริมพลังเพิ่มขึ้น 45%"
"Gem_E_Pain","Essence of Pain","แก่นแห่งความเจ็บปวด","All damage dealt by this Memory deals 40% Area damage around the target. This Area damage shares the elemental type with the original damage.","ความเสียหายทั้งหมดจากความทรงจำนี้สร้างความเสียหายพื้นที่ 40% รอบเป้าหมาย ความเสียหายพื้นที่นี้มีธาตุเดียวกับความเสียหายต้นฉบับ"
"Gem_E_Predation","Essence of Predation","แก่นแห่งการล่าเหยื่อ","This Memory deals 60% increased damage to Bosses and Hunters. Defeating a Hunter drops 1 Orbs of Power, while defeating a Boss drops 3. When you collect an Orb of Power, either Attack Damage or Ability Power permanently increases by 1 at random.","ความทรงจำนี้สร้างความเสียหายเพิ่มขึ้น 60% ต่อบอสและนักล่า การเอาชนะนักล่าดรอปลูกแก้วพลัง 1 ลูก ส่วนบอสดรอป 3 ลูก เมื่อคุณเก็บลูกแก้วพลัง ความเสียหายโจมตีหรือพลังความสามารถจะเพิ่มขึ้นถาวร 1 แบบสุ่ม"
"Gem_E_Protection","Essence of Protection","แก่นแห่งการปกป้อง","Casting this Memory grants 40 Armor for 3 seconds, reducing damage taken and making you Unstoppable. Can only trigger once every 5 seconds.","การใช้ความทรงจำนี้ให้เกราะ 40 เป็นเวลา 3 วินาที ลดความเสียหายที่ได้รับและทำให้คุณหยุดไม่ได้ ทริกเกอร์ได้ทุก 5 วินาที"
"Gem_E_Reflex","Essence of Reflex","แก่นแห่งการสะท้อนกลับ","When you take any damage, unleash cold toward the nearest enemy, dealing 120% Cold Damage and knocking them back, then increase your Armor by 40 for 1.5 seconds.","เมื่อคุณได้รับความเสียหาย ปล่อยความเย็นไปยังศัตรูที่ใกล้ที่สุด สร้างความเสียหายน้ำแข็ง 120% และผลักพวกเขาออกไป จากนั้นเพิ่มเกราะ 40 เป็นเวลา 1.5 วินาที"
"Gem_E_Thunder","Essence of Thunder","แก่นแห่งฟ้าร้อง","Casting another Memory or using Dodge grants 1 Thunder stack, up to 7 times. Casting this Memory consumes all Thunder stacks, calling down lightning on nearby enemies once for each stack. Each lightning deals 117% Light damage.","การใช้ความทรงจำอื่นหรือใช้การหลบให้สแต็กฟ้าร้อง 1 สูงสุด 7 ครั้ง การใช้ความทรงจำนี้ใช้สแต็กฟ้าร้องทั้งหมด เรียกฟ้าผ่าลงมาที่ศัตรูใกล้เคียงครั้งละ 1 ต่อสแต็ก ฟ้าผ่าแต่ละครั้งสร้างความเสียหายแสง 117%"
"Gem_E_Twilight","Essence of Twilight","แก่นแห่งพลบค่ำ","Your basic attacks are converted to Dark damage. When this Memory deals damage to an enemy with 3 or more Dark stacks, consumes all stacks to deal 54% damage per stack and heal for 6 per stack.","การโจมตีพื้นฐานของคุณถูกแปลงเป็นความเสียหายมืด เมื่อความทรงจำนี้สร้างความเสียหายต่อศัตรูที่มีสแต็กมืด 3 ขึ้นไป ใช้สแต็กทั้งหมดเพื่อสร้างความเสียหาย 54% ต่อสแต็กและฟื้นฟู 6 ต่อสแต็ก"
"Gem_E_Umbra","Essence of Umbra","แก่นแห่งเงามืด","This memory's damage is increased by 42% of your Critical Strike Chance. If the Damage is Dark Damage, Restore 6% of the damage dealt as Health.","ความเสียหายของความทรงจำนี้เพิ่มขึ้น 42% ของโอกาสคริติคอลของคุณ หากเป็นความเสียหายมืด ฟื้นฟูพลังชีวิต 6% ของความเสียหายที่สร้าง"
"Gem_E_Virtuousness","Essence of Virtue","แก่นแห่งคุณธรรม","The number of charges for this Memory increases by 1. Each 150% increase in quality raises the number of charges by 1.","จำนวนชาร์จของความทรงจำนี้เพิ่มขึ้น 1 คุณภาพเพิ่มขึ้นทุก 150% จะเพิ่มจำนวนชาร์จ 1"
"Gem_L_CamillasGift","Camilla's Gift","ของขวัญคามิลลา","Can be sold at the shop for 0 Gold. The price increases by 0 each time you move to a next world. It breaks if your Health drops below 50% from enemy damage.","สามารถขายที่ร้านค้าได้ 0 ทอง ราคาเพิ่มขึ้น 0 ทุกครั้งที่คุณไปโลกถัดไป จะแตกหากพลังชีวิตของคุณลดลงต่ำกว่า 50% จากความเสียหายของศัตรู"
"Gem_L_ChaosApple","Apple of Discord","แอปเปิลแห่งความบาดหมาง","Each time you move through a Rift, this Memory is temporarily transformed into a different random Memory. The transformed Memory has no cooldown, but can only be cast 4 times per room, and returns to the original Memory when all casts are used.","ทุกครั้งที่คุณเคลื่อนผ่านรอยแยก ความทรงจำนี้จะถูกแปลงชั่วคราวเป็นความทรงจำสุ่มอื่น ความทรงจำที่แปลงไม่มีคูลดาวน์ แต่ใช้ได้เพียง 4 ครั้งต่อห้อง และกลับเป็นความทรงจำเดิมเมื่อใช้ครบทุกครั้ง"
"Gem_L_DivineFaith","Divine Faith","ศรัทธาศักดิ์สิทธิ์","Each time you kill an enemy with this Memory, gain a stack of Faith up to 75 stacks. For each stack of Faith, this Memory's damage to enemies and healing to allies increases by 0.5%, and your Maximum Health increases by 4.","ทุกครั้งที่คุณฆ่าศัตรูด้วยความทรงจำนี้ ได้รับสแต็กศรัทธาสูงสุด 75 สแต็ก สแต็กศรัทธาแต่ละสแต็ก ความเสียหายต่อศัตรูและการฟื้นฟูพันธมิตรของความทรงจำนี้เพิ่มขึ้น 0.5% และพลังชีวิตสูงสุดเพิ่มขึ้น 4"
"Gem_L_Embertail","Embertail","หางเปลวไฟ","Your attacks ricochet to deal 100% Fire damage to a nearby enemy. For each nearby enemy engulfed in flames, this Memory's damage and healing are increased by 8% and its cooldown is reduced by 8%. Your Fire damage over time is increased by 100%.","การโจมตีของคุณสะท้อนสร้างความเสียหายไฟ 100% ต่อศัตรูใกล้เคียง ศัตรูใกล้เคียงแต่ละตัวที่ถูกเปลวไฟห่อหุ้ม ความเสียหายและการฟื้นฟูของความทรงจำนี้เพิ่มขึ้น 8% และคูลดาวน์ลดลง 8% ความเสียหายไฟต่อเนื่องของคุณเพิ่มขึ้น 100%"
"Gem_L_HeartOfGold","Heart of Gold","หัวใจทองคำ","Casting this Memory consumes 3% of your Gold to empower the cast. Damage and healing from the empowered cast increase by 12% for every 100 Gold you have. [NEWLINE] ","การใช้ความทรงจำนี้ใช้ทอง 3% เพื่อเสริมพลังการใช้ ความเสียหายและการฟื้นฟูจากการใช้แบบเสริมพลังเพิ่มขึ้น 12% ทุก 100 ทองที่คุณมี [NEWLINE] "
"Gem_L_MetalCrystal","Metallic Crystal","คริสตัลโลหะ","The parts exposed to light glow with surreal colors.","ส่วนที่โดนแสงเรืองแสงด้วยสีเหนือจริง"
"Gem_L_Paranoia","Essence of Paranoia","แก่นแห่งหวาดระแวง","When you take any damage, this Memory gains 150 Memory Haste for 6 seconds, reducing its cooldown by 60%, but it is automatically cast on nearby enemies.","เมื่อคุณได้รับความเสียหาย ความทรงจำนี้ได้รับความเร็วความทรงจำ 150 เป็นเวลา 6 วินาที ลดคูลดาวน์ 60% แต่จะถูกใช้อัตโนมัติกับศัตรูใกล้เคียง"
"Gem_L_Perfect","Perfection","ความสมบูรณ์แบบ","Increases Attack Damage by 7, Ability Power by 7, Maximum Health by 35, Attack Speed by 10%, Critical Strike Chance by 6%, and Memory Haste by 10.","เพิ่มความเสียหายโจมตี 7 พลังความสามารถ 7 พลังชีวิตสูงสุด 35 ความเร็วโจมตี 10% โอกาสคริติคอล 6% และความเร็วความทรงจำ 10"
"Gem_L_PureWhite","Pure White","ขาวบริสุทธิ์","Every 10 seconds, the cast of this Memory is empowered. The empowered cast fires 3 projectiles, dealing Light damage equal to 20% of the initial damage dealt to each enemy. The number of shots increases by the number of Light stacks on each target.","ทุก 10 วินาที การใช้ความทรงจำนี้จะถูกเสริมพลัง การใช้แบบเสริมพลังยิงกระสุน 3 ดอก สร้างความเสียหายแสงเท่ากับ 20% ของความเสียหายเริ่มต้นต่อศัตรูแต่ละตัว จำนวนกระสุนเพิ่มขึ้นตามจำนวนสแต็กแสงบนเป้าหมายแต่ละตัว"
"Gem_L_SolarEye","Eye of the Sun","ดวงตาดวงอาทิตย์","Every 20 seconds, this Memory's cast is empowered, raining Solar Light on all nearby enemies who are burning. Solar Light deals 360% Fire damage over 1.5 seconds and increases Burn stacks by 9. Increases your Fire damage over time by 100%.","ทุก 20 วินาที การใช้ความทรงจำนี้จะถูกเสริมพลัง โปรยแสงดวงอาทิตย์ลงมาที่ศัตรูใกล้เคียงทั้งหมดที่กำลังลุกไหม้ แสงดวงอาทิตย์สร้างความเสียหายไฟ 360% ตลอด 1.5 วินาทีและเพิ่มสแต็กไหม้ 9 เพิ่มความเสียหายไฟต่อเนื่องของคุณ 100%"
"Gem_L_SuppressedArcanum","Suppressed Arcanum","ความลับที่ถูกกดขี่","Casting this Memory sacrifices 5% of your current Health to create a Golden Explosion. Enemies caught in the explosion take 240% Light damage, while allies receive a Barrier of 61% that lasts 2.5 seconds. If your Health is below 60%, the Barrier amount of this Memory increases by 50%.","การใช้ความทรงจำนี้เสียสละพลังชีวิตปัจจุบัน 5% เพื่อสร้างการระเบิดทองคำ ศัตรูที่ติดอยู่ในการระเบิดได้รับความเสียหายแสง 240% ขณะที่พันธมิตรได้รับเกราะป้องกัน 61% ที่คงอยู่ 2.5 วินาที หากพลังชีวิตของคุณต่ำกว่า 60% จำนวนเกราะป้องกันของความทรงจำนี้เพิ่มขึ้น 50%"
"Gem_R_Abyss","Essence of the Abyss","แก่นแห่งก้นบึ้ง","Converts all Damage dealt by this memory to Dark Damage. If the target hit by this memory has 3 or more stacks of Darkness, triggers Attack Effects with a 43% chance.","แปลงความเสียหายทั้งหมดจากความทรงจำนี้เป็นความเสียหายมืด หากเป้าหมายที่โดนความทรงจำนี้มีสแต็กมืด 3 ขึ้นไป ทริกเกอร์เอฟเฟกต์การโจมตีด้วยโอกาส 43%"
"Gem_R_Accuracy","Essence of Accuracy","แก่นแห่งความแม่นยำ","When this Memory deals damage to a distant enemy, it fires an additional projectile that deals 50% damage. The damage dealt by the projectile shares the elemental type with the original damage.","เมื่อความทรงจำนี้สร้างความเสียหายต่อศัตรูที่อยู่ไกล จะยิงกระสุนเพิ่มเติมสร้างความเสียหาย 50% ความเสียหายจากกระสุนมีธาตุเดียวกับความเสียหายต้นฉบับ"
"Gem_R_Adventure","Essence of Adventure","แก่นแห่งการผจญภัย","Whenever you move to a new place, increase the quality of another Essence equipped to this Memory by +10% and gain 19 Gold.","ทุกครั้งที่คุณไปสถานที่ใหม่ เพิ่มคุณภาพของแก่นอื่นที่ติดตั้งกับความทรงจำนี้ +10% และได้รับ 19 ทอง"
"Gem_R_Blade","Essence of the Blade","แก่นแห่งใบมีด","Each time this Memory hits an enemy, it summons blades that lacerate the target for 58% damage 3 times. Can only trigger once every 2 seconds for each enemy.","ทุกครั้งที่ความทรงจำนี้โจมตีศัตรู จะเรียกใบมีดที่ฉีกเป้าหมายสร้างความเสียหาย 58% 3 ครั้ง ทริกเกอร์ได้ทุก 2 วินาทีต่อศัตรูแต่ละตัว"
"Gem_R_Bleak","Essence of Bleakness","แก่นแห่งความหดหู่","This Memory deals 50% increased damage to enemies affected by Cold, slow, root, or stun.","ความทรงจำนี้สร้างความเสียหายเพิ่มขึ้น 50% ต่อศัตรูที่ได้รับผลกระทบจากน้ำแข็ง ช้า รูท หรือสตัน"
"Gem_R_Blood","Essence of Blood Drops","แก่นแห่งหยดเลือด","When Health falls below 40%, sacrifice the quality of this Essence by 80% to restore 40% of your Maximum Health. Can only trigger once every 4 seconds.","เมื่อพลังชีวิตลดลงต่ำกว่า 40% เสียสละคุณภาพของแก่นนี้ 80% เพื่อฟื้นฟูพลังชีวิตสูงสุด 40% ทริกเกอร์ได้ทุก 4 วินาที"
"Gem_R_Celestial","Essence of the Celestial","แก่นแห่งสวรรค์","Every 10 seconds, this Memory's cast is empowered. When the empowered cast hits an enemy for the first time, it drops 4 meteors that deal 130% Light damage each.","ทุก 10 วินาที การใช้ความทรงจำนี้จะถูกเสริมพลัง เมื่อการใช้แบบเสริมพลังโจมตีศัตรูครั้งแรก จะดรอปดาวตก 4 ดวงสร้างความเสียหายแสง 130% แต่ละดวง"
"Gem_R_Composure","Essence of Composure","แก่นแห่งความสงบ","Casting this Memory increases your Critical Strike Chance by 30% for 5 seconds. This effect ends early if you take damage from enemies.","การใช้ความทรงจำนี้เพิ่มโอกาสคริติคอล 30% เป็นเวลา 5 วินาที เอฟเฟกต์นี้จะจบก่อนหากคุณได้รับความเสียหายจากศัตรู"
"Gem_R_Contempt","Essence of Contempt","แก่นแห่งการดูถูก","This Memory deals more damage as the target's Health decreases, up to a 50% increase when their Health is at 20%.","ความทรงจำนี้สร้างความเสียหายมากขึ้นเมื่อพลังชีวิตเป้าหมายลดลง เพิ่มขึ้นสูงสุด 50% เมื่อพลังชีวิตอยู่ที่ 20%"
"Gem_R_Dusk","Essence of Dusk","แก่นแห่งพลบค่ำ","Casting this Memory fires 2 Dusk shards that deal 30% Dark damage each time you attack an enemy for 5 seconds.","การใช้ความทรงจำนี้ยิงเศษพลบค่ำ 2 ดอกสร้างความเสียหายมืด 30% ทุกครั้งที่คุณโจมตีศัตรูเป็นเวลา 5 วินาที"
