"Key","Name_EN","Name_TH","Desc_EN","Desc_TH","Lore_EN","Lore_TH"
"Se_Star_I_DreamDustOnKillChance","Dismantle and Analyze","รื้อถอนและวิเคราะห์","Defeating an enemy has a 12% chance to grant 2 Dream Dust.","การเอาชนะศัตรูมีโอกาส 12% ที่จะได้รับฝุ่นความฝัน 2",,""
"Se_Star_I_FirstGemUpgrade","Beginner's Luck","โชคมือใหม่","Increases the quality of the first Essence you equip by 40%.","เพิ่มคุณภาพของแก่นชิ้นแรกที่คุณติดตั้ง 40%",,""
"Se_Star_I_GemOnMiniBossKill","Bizarre Spoils","ของรางวัลประหลาด","Defeating a Mini Boss has a 40% chance to grant a random Essence.","การเอาชนะมินิบอสมีโอกาส 40% ที่จะได้รับแก่นสุ่ม",,""
"Se_Star_I_GoldPerCrit","Pickpocket","ล้วงกระเป๋า","Gain 0.7 Gold the first time a Critical Attack hits each enemy.","ได้รับ 0.7 ทองครั้งแรกที่การโจมตีคริติคอลโดนศัตรูแต่ละตัว",,""
"Se_Star_I_KillGoldBonus","Wealth Accumulation","สะสมความมั่งคั่ง","Increases the amount of Gold gained from defeating enemies by 4%.","เพิ่มจำนวนทองที่ได้จากการเอาชนะศัตรู 4%",,""
"Se_Star_I_MawDiscountAndProtection","Sparkling Clean Maw","ปากอ้าสะอาดเป็นประกาย","Reduces the cost of the Maw of Doom by 20%. The Maw no longer destroys items it consumes, instead resetting their level or quality.","ลดค่าใช้จ่ายของปากอ้าแห่งหายนะ 20% ปากอ้าจะไม่ทำลายไอเทมที่กิน แต่จะรีเซ็ตเลเวลหรือคุณภาพแทน",,""
"Se_Star_I_MoreShopItems","Monstrous Charm","เสน่ห์ประหลาด","There is a 50% chance for Jonas to offer 2 additional items for sale.","มีโอกาส 50% ที่โจนาสจะเสนอไอเทมเพิ่มเติม 2 ชิ้น",,""
"Se_Star_I_ShopDiscount","Sharp Negotiator","นักเจรจาฉลาด","The Gold price of items sold by Merchants is reduced by 10%.","ราคาทองของไอเทมที่ขายโดยพ่อค้าลดลง 10%",,""
"Se_Star_I_ShopRefreshToken","Black Market","ตลาดมืด","Gain 1 Platinum Coins at the start of an adventure and whenever you move to a new world, up to a maximum of 3. Use these coins to refresh the Merchant's inventory.","ได้รับเหรียญแพลทินัม 1 เหรียญเมื่อเริ่มการผจญภัยและทุกครั้งที่ไปโลกใหม่ สูงสุด 3 เหรียญ ใช้เหรียญเหล่านี้รีเฟรชสินค้าของพ่อค้า",,""
"Se_Star_I_StartGold","Initial Capital","ทุนเริ่มต้น","Gain 50 Gold at the start of your adventure.","ได้รับ 50 ทองเมื่อเริ่มการผจญภัย",,""
"Se_Star_I_StartSkill","Intersecting Memories","ความทรงจำตัดกัน","Acquire a random level 1 Memory at the start of your adventure.","ได้รับความทรงจำเลเวล 1 สุ่มเมื่อเริ่มการผจญภัย",,""
"Se_Star_L_Armor","Stone Skin","ผิวหนังหิน","Increases Armor by 5.","เพิ่มเกราะ 5",,""
"Se_Star_L_ArmorOnTravel","Ragged Armor","เกราะขาดรุ่งริ่ง","Gain 2.5 Armor every time you enter a new world.","ได้รับเกราะ 2.5 ทุกครั้งที่เข้าโลกใหม่",,""
"Se_Star_L_DamageReductionFromChilled","Cold Affinity","ความสัมพันธ์กับความเย็น","Damage taken from enemies afflicted with Chill is reduced by 25%.","ความเสียหายที่ได้รับจากศัตรูที่ได้รับผลกระทบจากความเย็นลดลง 25%",,""
"Se_Star_L_DodgeCooldown","Threat Detection","ตรวจจับภัยคุกคาม","Reduces Dodge's cooldown by 10%.","ลดคูลดาวน์การหลบ 10%",,""
"Se_Star_L_DodgeCooldownOnLowHealth","Instinctive Movement","การเคลื่อนไหวตามสัญชาตญาณ","When Health is below 50%, Dodge cooldown is reduced by 20%.","เมื่อพลังชีวิตต่ำกว่า 50% คูลดาวน์การหลบลดลง 20%",,""
"Se_Star_L_ElementalResistance","Elemental Resistance","ต้านทานธาตุ","Reduces the duration of elemental effects on you by 40%. For Burn, damage is reduced instead.","ลดระยะเวลาของเอฟเฟกต์ธาตุบนคุณ 40% สำหรับไหม้ ความเสียหายจะลดลงแทน",,""
"Se_Star_L_FatalHitProtection","Second Wind","ลมหายใจที่สอง","When you take Fatal damage, you ignore that damage and become Invulnerable for 1 seconds. This can only occur once per game.","เมื่อคุณได้รับความเสียหายถึงตาย คุณจะเพิกเฉยความเสียหายนั้นและกลายเป็นอมตะ 1 วินาที เกิดได้เพียงครั้งเดียวต่อเกม",,""
"Se_Star_L_GuidanceShrineDiscount","Unconditional Love","ความรักไร้เงื่อนไข","Reduces the cost of Shrine of Guidance by 25%.","ลดค่าใช้จ่ายของศาลเจ้าแห่งการนำทาง 25%",,""
"Se_Star_L_HealOnAttack","Wicked Vitality","พลังชีวิตชั่วร้าย","Basic Attacks restore 0.40% of your Max Health on hit. This healing is increased by 150% on a Critical Strike.","การโจมตีพื้นฐานฟื้นฟูพลังชีวิตสูงสุด 0.40% เมื่อโดน การฟื้นฟูนี้เพิ่มขึ้น 150% เมื่อคริติคอล",,""
"Se_Star_L_HealOnKill","Combat First Aid","การปฐมพยาบาลในการต่อสู้","Restore 1.00% of your Max Health whenever you kill an enemy.","ฟื้นฟูพลังชีวิตสูงสุด 1.00% ทุกครั้งที่คุณฆ่าศัตรู",,""
"Se_Star_L_MaxHealth","Empowered Persistence","ความอดทนเสริมพลัง","Increases Maximum Health by 60.","เพิ่มพลังชีวิตสูงสุด 60",,""
"Se_Star_L_PotionChance","Asclepius","แอสคลีเพียส","Increases the chance for a Health Potion to appear by 25%.","เพิ่มโอกาสที่ยาฟื้นฟูจะปรากฏ 25%",,""
"Se_Star_L_PotionHealAmount","Suspicious Mixture","ส่วนผสมน่าสงสัย","Increases the healing amount of Health Potions by 55%.","เพิ่มจำนวนการฟื้นฟูของยาฟื้นฟู 55%",,""
"Se_Star_L_PotionOnBuyOrSell","Humble Freebie","ของแถมถ่อมตัว","Gain a Health Potion when you buy or sell an item at the shop. This can trigger up to 1 times per merchant.","ได้รับยาฟื้นฟูเมื่อคุณซื้อหรือขายไอเทมที่ร้านค้า ทริกเกอร์ได้สูงสุด 1 ครั้งต่อพ่อค้า",,""
"Se_Star_L_ReceivedHealingAndShieldBonus","Regenerative Skin","ผิวหนังฟื้นฟู","Increases received Healing and Barrier amounts by 12%.","เพิ่มจำนวนการฟื้นฟูและเกราะป้องกันที่ได้รับ 12%",,""
"Se_Star_L_ScalingMaxHealth","Steel Refinement","การหลอมเหล็ก","Increases Maximum Health by 15 each time you level up.","เพิ่มพลังชีวิตสูงสุด 15 ทุกครั้งที่เลเวลอัพ",,""
"Se_Star_Aurena_D_AbilityPower","Drawing a Conclusion","สรุปผล","Increases Ability Power by 3.","เพิ่มพลังความสามารถ 3",,""
"Se_Star_Aurena_D_AtkSpd","Hypothesis Formation","การตั้งสมมติฐาน","Increases Attack Speed by 5%.","เพิ่มความเร็วโจมตี 5%",,""
"Se_Star_Aurena_D_AttackDamage","Experiment and Validation","การทดลองและตรวจสอบ","Increases Attack Damage by 3.","เพิ่มความเสียหายโจมตี 3","Experiments and validation must always be thorough. The pain or lives of test subjects are merely secondary considerations to her.","การทดลองและการตรวจสอบต้องละเอียดถี่ถ้วนเสมอ ความเจ็บปวดหรือชีวิตของตัวอย่างทดลองเป็นเพียงข้อพิจารณารองสำหรับเธอ"
"Se_Star_Aurena_D_BonusStatOnLowHp","Resonance Effect","เอฟเฟกต์สะท้อน","When your Health is below 50%, your Attack Damage and Ability Power increase by 8%.","เมื่อพลังชีวิตต่ำกว่า 50% ความเสียหายโจมตีและพลังความสามารถเพิ่มขึ้น 8%",,""
"Se_Star_Aurena_F_CR_EarnGold","Master Alchemist","นักเล่นแร่แปรธาตุปรมาจารย์","Chain Reaction earns 2 Gold per second for each enemy inside the sigil.","ปฏิกิริยาลูกโซ่ได้รับ 2 ทองต่อวินาทีต่อศัตรูแต่ละตัวในสัญลักษณ์",,""
"Se_Star_Aurena_F_CR_GlobalHeal","Golden Mind","จิตใจทองคำ","Chain Reaction applies 70% healing to Travelers even if they are not inside the sigil.","ปฏิกิริยาลูกโซ่ใช้การฟื้นฟู 70% กับนักเดินทางแม้ว่าพวกเขาจะไม่อยู่ในสัญลักษณ์",,""
"Se_Star_Aurena_F_CR_NoHealCooldownReduction","Golden Wind","ลมทองคำ","Chain Reaction no longer heals, but its cooldown is reduced by 15% each time an enemy dies from the sigil.","ปฏิกิริยาลูกโซ่ไม่ฟื้นฟูอีกต่อไป แต่คูลดาวน์ลดลง 15% ทุกครั้งที่ศัตรูตายจากสัญลักษณ์",,""
"Se_Star_Aurena_F_DT_LowerThresholdBiggerHeals","Extremely Dangerous Theory","ทฤษฎีอันตรายสุดขีด","The Health threshold for empowered casts of Dangerous Theory is reduced to 40%, but healing is increased by 40%.","เกณฑ์พลังชีวิตสำหรับการใช้แบบเสริมพลังของทฤษฎีอันตรายลดลงเหลือ 40% แต่การฟื้นฟูเพิ่มขึ้น 40%","The ethics committee of the Lunar Society that reviewed her thesis unanimously reached two conclusions. First, she should be immediately expelled. Second, all committee members who participated in this review shall be granted one week of paid leave.","คณะกรรมการจริยธรรมของสมาคมจันทรคติที่ตรวจสอบวิทยานิพนธ์ของเธอได้ข้อสรุปเป็นเอกฉันท์สองข้อ หนึ่ง เธอควรถูกไล่ออกทันที สอง สมาชิกคณะกรรมการทุกคนที่เข้าร่วมการตรวจสอบนี้จะได้รับวันหยุดพักร้อนแบบจ่ายเงินหนึ่งสัปดาห์"
"Se_Star_Aurena_F_DT_TwiceWithPenalty","Follow-up Research","การวิจัยติดตาม","Dangerous Theory's cooldown increases by 1 seconds and it can only be used as an empowered cast, but it empowers 2 basic attacks.","คูลดาวน์ของทฤษฎีอันตรายเพิ่มขึ้น 1 วินาทีและใช้ได้เฉพาะแบบเสริมพลัง แต่เสริมพลังการโจมตีพื้นฐาน 2 ครั้ง",,""
"Se_Star_Aurena_F_DT_UnstoppableAndRemoveDelusion","Unparalleled Genius","อัจฉริยะไร้เทียมทาน","When you cast Dangerous Theory, become Unstoppable for 1.5 seconds and remove Delusional effects.","เมื่อคุณใช้ทฤษฎีอันตราย กลายเป็นหยุดไม่ได้เป็นเวลา 1.5 วินาทีและลบเอฟเฟกต์หลงผิด","She now understands delusions completely, from their basic principles to how they work.","ตอนนี้เธอเข้าใจความหลงผิดอย่างสมบูรณ์ ตั้งแต่หลักการพื้นฐานจนถึงวิธีการทำงาน"
"Se_Star_Aurena_F_GB_LessDamageLessSacrifice","Loose Dismantle","รื้อถอนหลวม","Golden Explosion's damage is reduced by 40%, but the Health sacrificed is also reduced by 30%.","ความเสียหายของการระเบิดทองคำลดลง 40% แต่พลังชีวิตที่เสียสละก็ลดลง 30%",,""
"Se_Star_Aurena_F_GB_NoSacrificeAfterDodge","Dismantle, Dissolve, Understanding","รื้อถอน ละลาย เข้าใจ","If you cast Golden Explosion within 3 seconds after using Dodge, no Health is sacrificed. This only applies in combat.","หากคุณใช้การระเบิดทองคำภายใน 3 วินาทีหลังใช้การหลบ ไม่มีพลังชีวิตถูกเสียสละ ใช้ได้เฉพาะในการต่อสู้",,""
"Se_Star_Aurena_F_GB_NoWitherNoSacrifice","Strong Bond","สายสัมพันธ์แข็งแกร่ง","If you cast Golden Explosion with no Wither stacks, no Health is sacrificed. This only applies in combat.","หากคุณใช้การระเบิดทองคำโดยไม่มีสแต็กเหี่ยวเฉา ไม่มีพลังชีวิตถูกเสียสละ ใช้ได้เฉพาะในการต่อสู้",,""
"Se_Star_Aurena_F_RE_AtkEffect","Sharp Shards","เศษคม","Each Gold Shard from Reduction triggers attack effects on the first enemy hit.","เศษทองแต่ละชิ้นจากการลดทอนทริกเกอร์เอฟเฟกต์การโจมตีบนศัตรูตัวแรกที่โดน",,""
"Se_Star_Aurena_F_RE_CooldownButNoHeal","Transmutation","การแปรธาตุ","Reduction no longer restores Health, but its cooldown is reduced by 70%.","การลดทอนไม่ฟื้นฟูพลังชีวิตอีกต่อไป แต่คูลดาวน์ลดลง 70%",,""
"Se_Star_Aurena_F_RE_MoreProjMoreSacrifice","Enhanced Dismantling Force","พลังรื้อถอนเสริม","Reduction fires 1 more Gold Shards, but the amount of Health sacrificed increases to 15%.","การลดทอนยิงเศษทอง 1 ชิ้นเพิ่มเติม แต่จำนวนพลังชีวิตที่เสียสละเพิ่มขึ้นเป็น 15%",,""
"Se_Star_Aurena_I_BonusFromStones","Component Analysis","การวิเคราะห์ส่วนประกอบ","Increases the resources gained from Gold Shards and Dream Dust Shards by 40%.","เพิ่มทรัพยากรที่ได้จากเศษทองและเศษฝุ่นความฝัน 40%",,""
"Se_Star_Aurena_I_GoldEveryZone","Glittering Golden Antlers","เขากวางทองแวววาว","Gain 60 Gold every time you enter a new world.","ได้รับ 60 ทองทุกครั้งที่เข้าโลกใหม่","With sandpaper, cloth, and time, you can always acquire a bit of Gold.","ด้วยกระดาษทราย ผ้า และเวลา คุณสามารถได้ทองเล็กน้อยเสมอ"
"Se_Star_Aurena_I_GoldOnMerchantDamage","Fun Experiment","การทดลองสนุก","Gain 4 Gold each time you damage a Merchant, up to a maximum of 40 Gold.","ได้รับ 4 ทองทุกครั้งที่คุณทำร้ายพ่อค้า สูงสุด 40 ทอง","Aurena herself doesn't seem to see anything wrong with this.","ตัวออเรนาเองดูเหมือนจะไม่เห็นว่ามีอะไรผิดกับเรื่องนี้"
"Se_Star_Aurena_I_PotionGold","Equivalent Exchange","การแลกเปลี่ยนเท่าเทียม","Gain 10 Gold each time you acquire a Health Potion.","ได้รับ 10 ทองทุกครั้งที่ได้รับยาฟื้นฟู",,""
"Se_Star_Aurena_I_RevealWorld","Anguillian Hypersense","ประสาทสัมผัสยิ่งยวดของชาวแองกวิลเลีย","When entering a world, reveal 3 random locations.","เมื่อเข้าโลก เปิดเผยตำแหน่งสุ่ม 3 แห่ง",,""
"Se_Star_Aurena_L_Armor","Beautiful Plumage","ขนนกสวยงาม","Increases Armor by 3.","เพิ่มเกราะ 3",,""
"Se_Star_Aurena_L_ArmorOnLowHp","Feather Oil","น้ำมันขนนก","Increases Armor by 30 when your Health is below 40%.","เพิ่มเกราะ 30 เมื่อพลังชีวิตต่ำกว่า 40%",,""
"Se_Star_Aurena_L_HealAmpOnLowHp","Autophagy","การกินตัวเอง","Increases healing given and received by 15% when your Health is below 50%.","เพิ่มการฟื้นฟูที่ให้และได้รับ 15% เมื่อพลังชีวิตต่ำกว่า 50%",,""
"Se_Star_Aurena_L_HealAmpWithPenalty","Experimental Hypothesis","สมมติฐานการทดลอง","Increases damage taken from enemies by 20%, but increases healing given and received by 15%.","เพิ่มความเสียหายที่ได้รับจากศัตรู 20% แต่เพิ่มการฟื้นฟูที่ให้และได้รับ 15%",,""
"Se_Star_Aurena_L_ShareHeal","Circulating Life","ชีวิตหมุนเวียน","When you recover Health, heal a nearby ally other than yourself with the lowest Health for 20% of the amount healed.","เมื่อคุณฟื้นฟูพลังชีวิต ฟื้นฟูพันธมิตรใกล้เคียงนอกจากตัวเองที่มีพลังชีวิตต่ำสุด 20% ของจำนวนที่ฟื้นฟู",,""
"Se_Star_Aurena_L_SpeedOnDamage","Eel-like Agility","ความคล่องตัวเหมือนปลาไหล","When you take damage, your Movement Speed increases by 10% for 2 seconds.","เมื่อคุณได้รับความเสียหาย ความเร็วเคลื่อนที่เพิ่มขึ้น 10% เป็นเวลา 2 วินาที","Her graceful and elegant movements, uncharacteristic of a scholar, are one of the physical traits of Anguillians.","การเคลื่อนไหวที่สง่างามและหรูหราของเธอซึ่งไม่เหมือนนักวิชาการ เป็นหนึ่งในลักษณะทางกายภาพของชาวแองกวิลเลีย"
"Se_Star_Bismuth_D_AtkSpd","Speed Reading","อ่านเร็ว","Increases Attack Speed by 9%.","เพิ่มความเร็วโจมตี 9%",,""
"Se_Star_Bismuth_D_AtkSpdFromDismantle","Enlightenment","การตรัสรู้","Each time you dismantle a Memory or Essence, your Attack Speed increases permanently by 3%, but Dream Dust gained is reduced by 35%. Attack Speed increase varies by rarity: 70%, 100%, 150%, 300%.","ทุกครั้งที่คุณรื้อถอนความทรงจำหรือแก่น ความเร็วโจมตีเพิ่มขึ้นถาวร 3% แต่ฝุ่นความฝันที่ได้รับลดลง 35% การเพิ่มความเร็วโจมตีแตกต่างตามความหายาก: 70%, 100%, 150%, 300%",,""
"Se_Star_Bismuth_D_BonusAttackEffect","Arrow of the Mind","ลูกศรแห่งจิตใจ","Your Maximum Health is reduced by 15%, but in return, your basic attacks have a 25% chance to fire an additional arrow that triggers an attack effect.","พลังชีวิตสูงสุดลดลง 15% แต่การโจมตีพื้นฐานมีโอกาส 25% ที่จะยิงลูกศรเพิ่มเติมที่ทริกเกอร์เอฟเฟกต์การโจมตี",,""
"Se_Star_Bismuth_D_Conquerer","Mental Attunement","การปรับจิตใจ","Gain 1 stack of Attunement with each basic attack, up to 8 stacks. Each stack increases your Attack Damage and Ability Power by 0.5. All stacks are lost when you take damage from enemies.","ได้รับสแต็กการปรับ 1 ต่อการโจมตีพื้นฐาน สูงสุด 8 สแต็ก แต่ละสแต็กเพิ่มความเสียหายโจมตีและพลังความสามารถ 0.5 สแต็กทั้งหมดหายเมื่อได้รับความเสียหายจากศัตรู",,""
"Se_Star_Bismuth_D_SkillHasteAndAutoCast","Self-Writing Story","เรื่องราวเขียนเอง","Increases Memory Haste by 8 and most Memories will be automatically cast during combat.","เพิ่มความเร็วความทรงจำ 8 และความทรงจำส่วนใหญ่จะถูกใช้อัตโนมัติในการต่อสู้","Sometimes, the story gets so exciting that it turns to the next page all by itself. The girl simply needs to sit back and watch the wonderful tales the book writes unfold.","บางครั้งเรื่องราวน่าตื่นเต้นมากจนพลิกหน้าเองได้ เด็กหญิงแค่ต้องนั่งพักและดูนิทานมหัศจรรย์ที่หนังสือเขียนขึ้นเปิดเผย"
"Se_Star_Bismuth_F_DM_BonusOnFullCharge","Overcharge","โอเวอร์ชาร์จ","Increases Distorted Mind's cooldown by 1 seconds, but firing at maximum charge increases the number of arrows by 2.","เพิ่มคูลดาวน์ของจิตใจบิดเบี้ยว 1 วินาที แต่การยิงที่ชาร์จเต็มเพิ่มจำนวนลูกศร 2",,""
"Se_Star_Bismuth_F_DM_MoreShootNoMove","Artillery","ปืนใหญ่","Increases the maximum number of arrows for Distorted Mind by 7, but you cannot move while charging.","เพิ่มจำนวนลูกศรสูงสุดของจิตใจบิดเบี้ยว 7 แต่คุณไม่สามารถเคลื่อนที่ขณะชาร์จ",,""
"Se_Star_Bismuth_F_DM_NonFullChargeCooldown","Improvisation","การด้นสด","When you release Distorted Mind without fully charging, its cooldown is reduced by 50%.","เมื่อคุณปล่อยจิตใจบิดเบี้ยวโดยไม่ชาร์จเต็ม คูลดาวน์ลดลง 50%",,""
"Se_Star_Bismuth_F_IN_Elementals","Diverse Topics","หัวข้อหลากหลาย","Each soul missile from Pure Soul gains a random elemental effect.","ขีปนาวุธวิญญาณแต่ละดอกจากวิญญาณบริสุทธิ์ได้รับเอฟเฟกต์ธาตุสุ่ม",,""
"Se_Star_Bismuth_F_IN_LessCooldownLessMissiles","Undervolting","ลดแรงดัน","Pure Soul's soul missile count is reduced by 2, but its cooldown is reduced by 50%.","จำนวนขีปนาวุธวิญญาณของวิญญาณบริสุทธิ์ลดลง 2 แต่คูลดาวน์ลดลง 50%",,""
"Se_Star_Bismuth_F_IN_MoreProjByAtkSpd","Say Hello to My Little Friends!","ทักทายเพื่อนตัวเล็กของฉันสิ!","Pure Soul's cooldown increases by 1 seconds, but the number of soul missiles also increases by your attacks per second.","คูลดาวน์ของวิญญาณบริสุทธิ์เพิ่มขึ้น 1 วินาที แต่จำนวนขีปนาวุธวิญญาณเพิ่มขึ้นตามการโจมตีต่อวินาทีของคุณ","The girl decided to divide her shining heart into even more pieces to give as gifts. Then everyone regained their kind hearts and quietly fell asleep!","เด็กหญิงตัดสินใจแบ่งหัวใจเปล่งประกายของเธอออกเป็นชิ้นเล็กๆ มากขึ้นเพื่อมอบเป็นของขวัญ จากนั้นทุกคนก็ได้หัวใจที่ใจดีกลับคืนมาและหลับไปอย่างเงียบๆ!"
"Se_Star_Bismuth_F_IT_AddedDurationOnHit","Extended Agony","ความทรมานยืดเยื้อ","Tales of Hellfire's cooldown increases by 1 seconds, but each time it hits an enemy, its duration increases by 0.2 seconds, up to a maximum of 2 seconds.","คูลดาวน์ของนิทานไฟนรกเพิ่มขึ้น 1 วินาที แต่ทุกครั้งที่โจมตีศัตรู ระยะเวลาเพิ่มขึ้น 0.2 วินาที สูงสุด 2 วินาที",,""
"Se_Star_Bismuth_F_IT_InnerDamage","Furnace","เตาหลอม","Tales of Hellfire's damage is reduced by 40% but now also hits enemies inside the ring.","ความเสียหายของนิทานไฟนรกลดลง 40% แต่ตอนนี้โจมตีศัตรูภายในวงแหวนด้วย",,""
"Se_Star_Bismuth_F_IT_SmallerRingMoreDamage","Close and Personal","ใกล้และส่วนตัว","Tales of Hellfire's ring radius is reduced by 35% but its damage is increased by 35%.","รัศมีวงแหวนของนิทานไฟนรกลดลง 35% แต่ความเสียหายเพิ่มขึ้น 35%",,""
"Se_Star_Bismuth_F_VH_FullCharge","No Longer Afraid","ไม่กลัวอีกต่อไป","Valiant Heart's charges now fully restore all at once.","ชาร์จของหัวใจกล้าหาญตอนนี้ฟื้นฟูเต็มทั้งหมดพร้อมกัน","Now, no matter how many villains appear, it's okay. The girl's hands will always be filled with the courage to defeat them!","ตอนนี้ไม่ว่าจะมีวายร้ายกี่คนปรากฏตัว ก็ไม่เป็นไร มือของเด็กหญิงจะเต็มไปด้วยความกล้าที่จะเอาชนะพวกเขาเสมอ!"
"Se_Star_Bismuth_F_VH_ResetOnDodge","Quick Decision","การตัดสินใจรวดเร็ว","Using Distorting Sprint resets the cooldown of Valiant Heart, but it only hits up to 2 enemies.","การใช้วิ่งบิดเบี้ยวรีเซ็ตคูลดาวน์ของหัวใจกล้าหาญ แต่โจมตีได้สูงสุด 2 ศัตรู",,""
"Se_Star_Bismuth_F_VH_Shield","Steadfast Heart","หัวใจมั่นคง","Valiant Heart's cooldown is increased by 1 seconds, but you gain a Barrier equal to 40% of the damage dealt that lasts for 2.5 seconds.","คูลดาวน์ของหัวใจกล้าหาญเพิ่มขึ้น 1 วินาที แต่คุณได้รับเกราะป้องกันเท่ากับ 40% ของความเสียหายที่สร้างที่คงอยู่ 2.5 วินาที",,""
"Se_Star_Bismuth_I_DismantleMemoryDreamDust","Good Material","วัสดุดี","Increase the amount of Dream Dust obtained when dismantling Memories by 20%.","เพิ่มจำนวนฝุ่นความฝันที่ได้เมื่อรื้อถอนความทรงจำ 20%",,""
"Se_Star_Bismuth_I_KnowledgeBook","Book of Knowledge","หนังสือแห่งความรู้","Gain 1-4 Books of Knowledge for every boss you defeat. Each book grants a random stat equivalent to a Common-grade Chaos 15%.","ได้รับหนังสือแห่งความรู้ 1-4 เล่มทุกครั้งที่เอาชนะบอส แต่ละเล่มให้สถานะสุ่มเทียบเท่าความโกลาหลระดับธรรมดา 15%",,""
